LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Споделяне на съдържание
SHARE_BY_MAIL	Споделяне чрез електронна поща
URL_OF_CURRENT_PAGE	URL на текущата страница
TASK	Задание
GLOSSARY	Речник
CONTEXT_INFO	Информация за контекст
CONTEXT_ROLES	Роли
CONTEXT_ROLES_NOROLES	Показване на контекст без роли
CONTEXT_MY_ROLES	Моите роли
CLOSEBUBBLE	Затваряне на балон
MAXBUBBLE	Възстановяване балон
MINBUBBLE	Минимизиране балон
VOLUME	Сила на звука
SETTINGS	Настройки
CLOSE_TASK	Затворете @{TASK}
CLOSE	Затваряне
EXIT	Изход
SELECTION	Избор
KEYWORD_SEARCH	Търсене на ключова дума
SEARCH	Търсене
SEARCH_STRING	Стринг - търсене
KEYWORDS	Ключови думи
SEARCH_CLEAR	Изчистване на въведено търсене
FILTER	Филтър
RESOURCES	Ресурси
VIEW	Аспект
CANCEL	Отказ
CONTINUING	Продължаване
OK	ОК
PLAY	Възпроизвеждане
PAUSE	Пауза
BACK	Назад
PREVIOUS	Предходен
NEXT	Следващ
PLAYING	Възпроизвеждане
PAUSED	Пауза
USERINPUT	Въвеждане
IDLE	""
START	Зареждане на страница...
RESTART	Рестартиране
TEXT	Текст
TITLE	Заглавие
MINIMIZE	Минимизиране
RESTORE	Възстановяване
ACQUIRED_SCORE	Постигнат резултат
TEST_RESULT	Резултат
TESTDETAILS	Показване на подробни данни
TESTDETAILS1	Скриване на подробни данни
PRINT	Печат на страница
LESSON	Симулация
OF	от
DESCRIPTION	Описание
FULLSCREEN	Цял екран
TOGGLE_TASKINFO	Показване/скриване на описание на задача
PANEL_VIEWMODE	Режим показване на панел
PANEL_TOGGLE	Показване/скриване на панел
PANEL	Странична лента/пълно съдържание
BOOKMARK_FAVORITE	Фаворит
CONTENT	Съдържание/област на възпроизвеждане
TOC	Съдържание
FAVORITES	Фаворити
RECENT	История на страница
QRCODE	QR код
QR_URL_TOO_BIG	Url е твърде голям. Не може да се генерира QR код.
CTRLKEY	ctrl
ALTKEY	alt
SHIFTKEY	shift
AUDIO_MUTE	Спиране звук на аудио
AUDIO_PLAY	Възпроизвеждане аудио
AUDIO_PAUSE	Пауза на аудио
AUDIO_ON	Включване аудио
AUDIO_OFF	Изключване аудио
CHANNEL_MASTER	Осн.запис
CHANNEL_BOOKSOUND	Звук на книга
CHANNEL_NARRATIVE	Описание
CHANNEL_EFFECTS	Резултати
LIB_NOMATCH	Без съвпадения
LIB_NOFILTER	Без филтър
LIBFLAG_NEWWIN	Отваряне на съдържание в нов прозорец
LIBFLAG_TITLE	Търсене заглавие
LIBFLAG_SHORTDESC	Търсене кратко описание
LIBFLAG_DESC	Търсене на описание
LIBFLAG_KEYW	Търсене на ключови думи
LIBFLAG_SLIDES	Търсене в съдържание на страници от книги
GUI_TOP_BAR	Горна лента
GUI_BOTTOM_BAR	Долна лента
ORIENTATION_TOGGLE_TOP	Горна лента
ORIENTATION_TOGGLE_BOTTOM	Долна лента
FEEDBACK	Обратна връзка за автор
FEEDBACK_TITLE	Вашата обратна информация
FEEDBACK_QUESTION	Имате ли коментари за тази симулация?
FEEDBACK_MISTAKE	Открих грешка
FEEDBACK_COMMENTS	Имам коментари, желания
FEEDBACK_SEND	Изпращане на обратна информация
SEND_CONTENT	Споделяне на съдържание
SEND_CONTENT_SUBJECT	Препоръчително съдържание
SEND_CONTENT_TEMPLATE	Здравейте,\n\nТова съдържание може да представлява интерес за вас. \n\nНадпис: @{SEND_CAPTION}\nВръзка: @{SEND_LINK}\n\nПоздрави\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Възникна грешка. Моля, свържете се с вашия администратор.
ERROR_GENERAL	Вътрешна грешка.
ERROR_1	Средство за блокиране на диалоговите прозорци не позволява да се възпроизведе симулацията.
ERROR_1.h	Средство за блокиране на диалогови прозорци не допуска отварянето на нов прозорец на браузър. Затворете средството за блокиране на диалогови прозорци или го изключете за този домейн.
ERROR_2	Необходимият файл на конфигурация не може да бъде зареден.
ERROR_2.h	@{LESSONPLAYER} не може да зареди конфигурационния файл, необходим за правилното функциониране.
SCORM_LOCATION_ERROR	Вашият напредък не може да бъде запазен поради липсваща функционалност на вашата LMS система.
RESTART_COMPLETED_LMS_LESSON	Вие стартирате симулация, която вече е завършена или успешно премината. Това ще нулира всички предходно постигнати точки и ще отмени задаването на флаг за завършване или преминаване. Наистина ли желаете рестартиране?
RESTART_Av_LMS_LESSON	Вие стартирате симулация, която вече е завършена или успешно премината. Това ще нулира всички предходно постигнати точки и ще отмени задаването на флаг за завършване или преминаване. Кликнете върху 'ОК' за рестартиране или 'Отказ' за затваряне.
BOOK_NEXT_CHAPTER	Следваща глава
BOOK_PREV_CHAPTER	Предходна глава
BOOK_NEXT_PAGE	Следваща страница
BOOK_PREV_PAGE	Предходна страница
BOOK_INDEX_PAGE	Начална страница
SLIDE_MOREINFO	Още информация
SLIDE_TIPS	Съвети
SLIDE_ATTACH	Приложения
SLIDE_SHOWATTACH	Показване приложения
SLIDE_OPEN	Отваряне
SLIDE_ADD	Добавяне
SLIDE_EDIT	Редакция
SLIDE_DELETE	Изтриване
SLIDE_BUTTONAREA	Лента за възпроизвеждане
HELP	Помощ
HELP_REGION_BAR	Кратки пътища: Натиснете, за да се прехвърлите в лентата на плейъра
HELP_REGION_PANEL	Натиснете, за да се прехвърлите в страничната лента
HELP_REGION_CONTENT	Натиснете, за да се прехвърлите в съдържанието
HELP_LIBRARY	Показване помощ @{LIBRARY}
HELP_TRAINER	Показване помощ @{LESSONPLAYER}
HELP_BOOK	Показване помощ @{BOOKPLAYER}
DEMO_START	Демо режим
DEMO_START1	В режима Демо можете да наблюдавате изпълнението на дейност в приложението. Просто следвайте симулацията, всички стъпки се изпълняват автоматично.
DEMO_START2	С навигационната лента в долната част на екрана можете да прекъснете или спрете демонстрацията. Освен това можете да прескочите напред към следващата или назад към предходната стъпка.
DEMO_STOP	Демо режим е завършен.
CONCURRENT_START	Паралелен режим
CONCURRENT_START1	Паралелен режим ви показва стъпка по стъпка как да изпълните задача в рамките на приложението.
CONCURRENT_START2	Симулацията се прекъсва след всяка стъпка, давайки ви възможност да завършите стъпката в реалното приложение.
CONCURRENT_STOP	Паралелен режим е завършен.
PRACTICE_START	Режим на упражнения
PRACTICE_START1	В режим на упражнения можете да изпитате това, което сте научили като решите задача в рамките на приложението сами.
PRACTICE_START2	Просто следвайте инструкциите стъпка по стъпка.
PRACTICE_STOP	Режим на упражнения е завършен.
TEST_START	Тест режим
TEST_START1	В тестов режим можете да тествате знанията си чрез решаване на задача в приложението: Освен примерните данни, които трябва да въведете, няма да получавате инструкции стъпка по стъпка. Цялата задача е описана в прозореца на задача, който можете да увеличите или минимизирате според нуждите ви чрез бутоните в лентата на заглавието.
TEST_START2	В края на теста ще получите оценка на базата на успешно изпълнените стъпки. Тази оценка е за ваша самооценка в областта на задачата.
TEST_START3	Моля, изпълнете своите действия много внимателно, тъй като системата регистрира всички правописни грешки и погрешни кликвания и намалява оценката в съответствие с тях. Ако решите да поискате помощ за дадена стъпка, ще загубите всички предвидени за тази стъпка точки.
TEST_START4	Вашият краен резултат ще бъде показан в края на теста. Моля, опитайте се да постигнете целевия резултат от @{res_mastery_percent}% .
TEST_OK	Тест е успешен
TEST_OK1	Поздравления, вие успешно завършихте тази задача.
TEST_FAILED	Неуспешен тест
TEST_FAILED1	Тъй като събрахте по-малко от @{res_mastery_percent}% от възможните точки, препоръчваме Ви да преминете още веднъж съдържанието на този курс и след това отново да изпробвате знанията си в режима на тест.
TEST_FINISHED	Този тест е само за ваша самооценка. Резултатите няма да се записват или предоставят на трети страни.
TEST_SCORE	Резултат
TEST_SCOREVALUE	@{res_collected_points} от  @{res_possible_points}
FREEPRESENTATION_START	Режим свободно представяне
FREEPRESENTATION_START1	Режим свободно представяне ви позволява да изпълните процес в рамките на симулация.
FREEPRESENTATION_START2	Извършете стъпките стъпка по стъпка. Използвайте клавиш F1, за да получите помощ.
FREEPRESENTATION_STOP	Свободното представяне е завършено.
GUIDEDPRESENTATION_START	Режим насочвано представяне
GUIDEDPRESENTATION_START1	Режим Насочвано представяне изпълнява процес автоматично в рамките на симулацията. Показалец на мишка и осветяване показват текущата стъпка.
GUIDEDPRESENTATION_START2	Следвайте действията стъпка по стъпка и потвърждавайте всяко действие след това.
GUIDEDPRESENTATION_STOP	Насочваното представяне е завършено.
EXER_FAIL1	Извършеното от вас действие е неправилно.
EXER_FAIL2	Изпълненото от Вас действие беше неправилно. 1 точка е удържана от общия ви резултат. Оставащи точки за това действие: @1_rest-points_.
EXER_FAIL3	Изпълненото от Вас действие беше неправилно. 1 точка е удържана за всяка грешка от общия ви резултат. Оставащи точки за това действие: @1_rest-points_.
EXER_FAILKEY1	Натиснали сте клавиш @1_key_.
EXER_FAILKEY2	Функционални клавиши, които могат да бъдат използвани, са: @1_keys_.
EXER_FAILRADIO	Всички валидни бурони са осветени.
EXER_FAILINPUT	Всички валидни текстови области са осветени.
EXER_FAILSELECT	Всички валидни клетки на избор са осветени.
EXER_FAILDRAG	Изпълнили сте невалидна @1_keys_ операция на провлачване.
EXER_FAILDRAG1	Моля, изпълнете @1_keys_ операция на провлачване в рамките на осветената област.
EXER_FAILDROP	Изпълнили сте невалидна @1_keys_ операция на пускане.
EXER_FAILDROP1	Моля, изпълнете @1_keys_ операция на пускане в рамките на осветената област.
EXER_FAILDBLCLICK	Изпълнили сте невалидно @1_keys_ двойно кликване.
EXER_FAILDBLCLICK1	Моля, изпълнете @1_keys_ двойно кликване в рамките на осветената област.
