LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Κοινή Χρήση Περιεχομένων
SHARE_BY_MAIL	Κοινή χρήση μέσω email
URL_OF_CURRENT_PAGE	URL τρέχουσας σελίδας
TASK	Εργασία
GLOSSARY	Γλωσσάρι
CONTEXT_INFO	Θεματικά Στοιχεία
CONTEXT_ROLES	Ρόλοι
CONTEXT_ROLES_NOROLES	Εμφάνιση περιεχομένου χωρίς ρόλους
CONTEXT_MY_ROLES	Οι Ρόλοι Μου
CLOSEBUBBLE	Κλείσιμο φυσαλίδας
MAXBUBBLE	Αποκατάσταση φυσαλίδας
MINBUBBLE	Ελαχιστοποίηση φυσαλίδας
VOLUME	Ογκος
SETTINGS	Ρυθμίσεις
CLOSE_TASK	Κλείσιμο του @{TASK}
CLOSE	Κλείσιμο
EXIT	Εξοδος
SELECTION	Επιλογή
KEYWORD_SEARCH	Αναζήτηση για Λέξη Κλειδί
SEARCH	Αναζήτ
SEARCH_STRING	Αναζήτηση συμβολοσειράς
KEYWORDS	Λέξεις Κλειδιά
SEARCH_CLEAR	Εκκαθάριση Εισόδου Αναζήτησης
FILTER	Φίλτρο
RESOURCES	Πόροι
VIEW	Προβολή
CANCEL	Ακύρωση
CONTINUING	Συνέχεια
OK	ΟΚ
PLAY	Αναπαραγωγή
PAUSE	Παύση
BACK	Πίσω
PREVIOUS	Προηγ.
NEXT	Επόμενο
PLAYING	Αναπαραγωγή
PAUSED	Παύση
USERINPUT	Είσοδος
IDLE	""
START	Φόρτωση σελίδας...
RESTART	Επανέναρξη
TEXT	Κείμενο
TITLE	Τίτλος
MINIMIZE	Ελαχιστοποίηση
RESTORE	Επαναφορά
ACQUIRED_SCORE	Αποκτηθείσα Βαθμολογία
TEST_RESULT	Αποτέλεσμα
TESTDETAILS	Εμφάνιση Λεπτομερειών
TESTDETAILS1	Απόκρυψη Λεπτομερειών
PRINT	Εκτύπωση Σελίδας
LESSON	Προσομοίωση
OF	του
DESCRIPTION	Περιγραφή
FULLSCREEN	Πλήρης οθόνη
TOGGLE_TASKINFO	Εμφάνιση/Απόκρυψη Περιγραφής Εργασίας
PANEL_VIEWMODE	Τρόπος Εμφάνισης Πάνελ
PANEL_TOGGLE	Εμφάνιση/Απόκρυψη Πάνελ
PANEL	Πλαϊνή Γραμμή/Όλα τα Περιεχόμενα
BOOKMARK_FAVORITE	Αγαπημένο
CONTENT	Περιεχόμενο/Περιοχή Αναπαραγωγής
TOC	Πίνακας Περιεχομένων
FAVORITES	Αγαπημένα
RECENT	Ιστορικό Σελίδας
QRCODE	Κωδικός QR
QR_URL_TOO_BIG	Url πολύ μεγάλο. Αδύνατη ενεργοποίηση κωδικού QR.
CTRLKEY	ctrl
ALTKEY	alt
SHIFTKEY	shift
AUDIO_MUTE	Σίγαση Ηχου
AUDIO_PLAY	Αναπαραγωγή Ηχου
AUDIO_PAUSE	Παύση Ηχου
AUDIO_ON	Ηχος ενεργός
AUDIO_OFF	Ηχος ανενεργός
CHANNEL_MASTER	Κύριο
CHANNEL_BOOKSOUND	Ηχος βιβλίου
CHANNEL_NARRATIVE	Αφήγημα
CHANNEL_EFFECTS	Eφέ
LIB_NOMATCH	Χωρίς αντιστοιχίσεις
LIB_NOFILTER	Χωρίς φίλτρο
LIBFLAG_NEWWIN	Ανοιγμα περιεχομένου σε νέο παράθυρο
LIBFLAG_TITLE	Αναζήτηση τίτλου
LIBFLAG_SHORTDESC	Αναζήτηση σύντομης περιγραφής
LIBFLAG_DESC	Αναζήτηση περιγραφής
LIBFLAG_KEYW	Αναζήτηση για λέξεις κλειδιά
LIBFLAG_SLIDES	Αναζήτηση περιεχομένων σελίδας βιβλίου
GUI_TOP_BAR	Πάνω γραμμή κύλισης
GUI_BOTTOM_BAR	Κάτω γραμμή κύλισης
ORIENTATION_TOGGLE_TOP	Πάνω γραμμή κύλισης
ORIENTATION_TOGGLE_BOTTOM	Κάτω γραμμή κύλισης
FEEDBACK	Σχόλια για το συντάκτη
FEEDBACK_TITLE	Τα σχόλιά σας
FEEDBACK_QUESTION	Έχετε σχόλια για αυτή την προσομοίωση;
FEEDBACK_MISTAKE	Εντόπισα ένα σφάλμα
FEEDBACK_COMMENTS	Εχω παρατηρήσεις, επιθυμίες
FEEDBACK_SEND	Αποστολή σχολίων
SEND_CONTENT	Κοινή Χρήση Περιεχομένων
SEND_CONTENT_SUBJECT	Προτεινόμενα περιεχόμενα
SEND_CONTENT_TEMPLATE	Γεια σας,\n\nΑυτά τα περιεχόμενα μπορεί να σας ενδιαφέρουν. \n\nΛεζάντα: @{SEND_CAPTION}\nΣύνδεσμος: @{SEND_LINK}\n\nΜε εκτίμηση\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Εντοπίστηκε σφάλμα. Παρακαλώ επικοινωνήστε με τον διαχειριστή σας.
ERROR_GENERAL	Εσωτερικό σφάλμα.
ERROR_1	Αποκλεισμός αναδυόμενων παραθύρων εμποδίζει την αναπαραγωγή της προσομοίωσης.
ERROR_1.h	Ένας αποκλεισμός αναδυόμενων παραθύρων εμποδίζει το άνοιγμα ενός νέου παραθύρου περιήγησης. Κλείστε τον αποκλεισμό αναδυόμενων παραθύρων ή απενεργοποιήστε τον για αυτό το πεδίο ορισμού.
ERROR_2	Το υποχρεωτικό αρχείο διαμόρφωσης δεν φορτώθηκε.
ERROR_2.h	Το @{LESSONPLAYER} δεν μπορεί να φορτώσει το αρχείο διαμόρφωσης που απαιτείται για κατάλληλη λειτουργικότητα.
SCORM_LOCATION_ERROR	Η πρόοδός σας δεν αποθηκεύτηκε λόγω λειτουργίας που λείπει στο σύστημά σας LMS.
RESTART_COMPLETED_LMS_LESSON	Ξεκινάτε μία προσομοίωση που έχει ήδη ολοκληρωθεί ή πραγματοποιηθεί με επιτυχία. Έτσι θα επαναφέρετε όλους τους πόντους που έχετε κερδίσει στο μηδέν και θα διαγράψετε το δείκτη ολοκλήρωσης ή επιτυχίας. Επιθυμείτε πράγματι επανεκκίνηση;
RESTART_Av_LMS_LESSON	Ξεκινάτε μία προσομοίωση που έχει ήδη ολοκληρωθεί ή πραγματοποιηθεί με επιτυχία. Έτσι θα επαναφέρετε όλους τους πόντους που έχετε κερδίσει στο μηδέν και θα διαγράψετε το δείκτη ολοκλήρωσης ή επιτυχίας. Κλικ στο 'ΟΚ' για να ξεκινήσετε ή στο 'Ακύρωση' για να κλείσετε;
BOOK_NEXT_CHAPTER	Επόμενο Κεφάλαιο
BOOK_PREV_CHAPTER	Προηγούμενο Κεφάλαιο
BOOK_NEXT_PAGE	Επόμενη σελίδα
BOOK_PREV_PAGE	Προηγούμενη σελίδα
BOOK_INDEX_PAGE	Αρχική Σελίδα
SLIDE_MOREINFO	Περισσότερες Πληροφορίες
SLIDE_TIPS	Συμβουλές
SLIDE_ATTACH	Συνημμένα
SLIDE_SHOWATTACH	Εμφάνιση Προσαρτήσεων
SLIDE_OPEN	Ανοικτό
SLIDE_ADD	Προσθήκη
SLIDE_EDIT	Επεξεργασία
SLIDE_DELETE	Διαγραφή
SLIDE_BUTTONAREA	Γραμμή Αναπαραγωγής
HELP	Βοήθεια
HELP_REGION_BAR	Συντομεύσεις: Πατήστε για να εστιάσετε στη γραμμή αναπαραγωγής
HELP_REGION_PANEL	Πατήστε για να εστιάσετε στην πλευρική μπάρα
HELP_REGION_CONTENT	Πατήστε για να εστιάσετε στο περιεχόμενο
HELP_LIBRARY	Εμφάνιση βοήθειας @{LIBRARY} 
HELP_TRAINER	Εμφάνιση βοήθειας @{LESSONPLAYER} 
HELP_BOOK	Εμφάνιση βοήθειας @{BOOKPLAYER} 
DEMO_START	Δοκιμαστική Λειτουργία
DEMO_START1	Στη Λειτουργία Επίδειξης Δοκιμής μπορείτε να παρατηρήσετε μια δραστηριότητα που εκτελείται εντός της εφαρμογής. Ακολουθήστε απλά την προσομοίωση. Όλα τα βήματα θα εκτελεστούν αυτόματα.
DEMO_START2	Με την μπάρα πλοήγησης στο κάτω μέρος μπορείτε να διακόψετε την παρουσίαση προσωρινά ή πλήρως. Μπορείτε επίσης να προχωρήσετε στο επόμενο βήμα ή να επιστρέψετε στο προηγούμενο.
DEMO_STOP	Η Δοκιμαστική Λειτουργία ολοκληρώθηκε.
CONCURRENT_START	Ταυτόχρονη Λειτουργία
CONCURRENT_START1	Η Ταυτόχρ.Λειτ.σας δείχνει βήμα-βήμα πως να εκτελ.μια εργασ.εντός της εφαρμ.
CONCURRENT_START2	Η προσομ.διακόπτ.μετά από κάθε βήμα ώστε να ολοκληρώσ.το βήμα στην πραγμ.εφαρμογή.
CONCURRENT_STOP	Η Ταυτόχρονη Λειτουργία ολοκληρώθηκε.
PRACTICE_START	Λειτουργία Εξάσκησης
PRACTICE_START1	Στη Λειτουργία Εξάσκησης μπορείτε να δοκιμάσετε αυτά που μάθατε λύνοντας την εργασία εντός της εφαρμογής μόνοι σας.
PRACTICE_START2	Απλά ακολουθήστε τις οδηγίες βάσει των βημάτων.
PRACTICE_STOP	Η Λειτουργία Εξάσκησης ολοκληρώθηκε.
TEST_START	Δοκιμαστική Λειτουργία
