LIBRARY	biblioteca
BOOKPLAYER	lector de libro
LESSONPLAYER	entrenador
SHARE_CONTENT	Compartir contenido
SHARE_BY_MAIL	Compartir por correo electrónico
URL_OF_CURRENT_PAGE	URL de la página actual
TASK	Tarea
GLOSSARY	Glosario
CONTEXT_INFO	Información de contexto
CONTEXT_ROLES	Roles
CONTEXT_ROLES_NOROLES	Mostrar contexto sin roles
CONTEXT_MY_ROLES	Mis roles
CLOSEBUBBLE	Cerrar burbuja
MAXBUBBLE	Restaurar burbuja
MINBUBBLE	Minimizar burbuja
VOLUME	Volumen
SETTINGS	Configuración
CLOSE_TASK	Cerrar @{TASK}
CLOSE	Cerrar
EXIT	Salir
SELECTION	Selección
KEYWORD_SEARCH	Búsqueda de palabra clave
SEARCH	Buscar
SEARCH_STRING	Buscar cadena
KEYWORDS	Palabras clave
SEARCH_CLEAR	Borrar entrada de búsqueda
FILTER	Filtrar
RESOURCES	Recursos
VIEW	Vista
CANCEL	Cancelar
CONTINUING	Continuar
OK	OK
PLAY	Reproducir
PAUSE	Pausa
BACK	Atrás
PREVIOUS	Anterior
NEXT	Siguiente
PLAYING	Reproduciendo
PAUSED	Pausa
USERINPUT	Entrada
IDLE	""
START	Cargando página...
RESTART	Reiniciar
TEXT	Texto
TITLE	Título
MINIMIZE	Minimizar
RESTORE	Restaurar
ACQUIRED_SCORE	Puntuación obtenida
TEST_RESULT	Resultado
TESTDETAILS	Mostrar detalles
TESTDETAILS1	Ocultar detalles
PRINT	Imprimir página
LESSON	Simulación
OF	de
DESCRIPTION	Descripción
FULLSCREEN	Pantalla completa
TOGGLE_TASKINFO	Mostrar/Ocultar la descripción de la tarea
PANEL_VIEWMODE	Modo de visualización de panel
PANEL_TOGGLE	Mostrar/ocultar panel
PANEL	Barra lateral/Todo el contenido
BOOKMARK_FAVORITE	Favorito
CONTENT	Contenido/Área de reproducción
TOC	Índice
FAVORITES	Favoritos
RECENT	Historial de navegación
QRCODE	Código QR
QR_URL_TOO_BIG	Url demasiado grande. No se puede generar el código QR.
CTRLKEY	ctrl
ALTKEY	alt
SHIFTKEY	shift
AUDIO_MUTE	Audio en silencio
AUDIO_PLAY	Reproducir audio
AUDIO_PAUSE	Pausar audio
AUDIO_ON	Audio encendido
AUDIO_OFF	Audio apagado
CHANNEL_MASTER	Maestro
CHANNEL_BOOKSOUND	Sonido del libro
CHANNEL_NARRATIVE	Narración
CHANNEL_EFFECTS	Efectos
LIB_NOMATCH	Ninguna coincidencia
LIB_NOFILTER	Sin filtro
LIBFLAG_NEWWIN	Abrir el contenido en una ventana nueva
LIBFLAG_TITLE	Buscar título
LIBFLAG_SHORTDESC	Buscar descripción breve
