LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Partager contenu
SHARE_BY_MAIL	Partager par e-mail
URL_OF_CURRENT_PAGE	URL de la page actuelle
TASK	Tâche
GLOSSARY	Glossaire
CONTEXT_INFO	Information contextuelle
CONTEXT_ROLES	Rôles
CONTEXT_ROLES_NOROLES	Afficher contenu sans rôles
CONTEXT_MY_ROLES	Mes rôles
CLOSEBUBBLE	Fermer la bulle
MAXBUBBLE	Restaurer la bulle
MINBUBBLE	Réduire la bulle
VOLUME	Volume
SETTINGS	Options
CLOSE_TASK	Fermer @{TASK}
CLOSE	Fermer
EXIT	Terminer
SELECTION	Sélection
KEYWORD_SEARCH	Recherche par mots clés
SEARCH	Rechercher
SEARCH_STRING	Chaîne de recherche
KEYWORDS	Mots clés
SEARCH_CLEAR	Effacer la saisie de la recherche
FILTER	Filtre
RESOURCES	Ressources
VIEW	Vue
CANCEL	Annuler
CONTINUING	Poursuivre
OK	OK
PLAY	Lire
PAUSE	Pause
BACK	Retour
PREVIOUS	Précédent
NEXT	Suivant
PLAYING	Lecture
PAUSED	Pause
USERINPUT	Entrée
IDLE	""
START	Chargement de la page...
RESTART	Redémarrer
TEXT	Texte
TITLE	Titre
MINIMIZE	Réduire
RESTORE	Restaurer
ACQUIRED_SCORE	Score acquis
TEST_RESULT	Résultat
TESTDETAILS	Afficher détails
TESTDETAILS1	Masquer détails
PRINT	Imprimer page
LESSON	Simulation
OF	sur
DESCRIPTION	Description
FULLSCREEN	Plein écran
TOGGLE_TASKINFO	Afficher/Masquer description de la tâche
PANEL_VIEWMODE	Mode d'affichage du panneau
PANEL_TOGGLE	Afficher/Masquer panneau
PANEL	Barre latérale/Tout le contenu
BOOKMARK_FAVORITE	Favori
CONTENT	Contenu/Zone de repassage
TOC	Table des matières
FAVORITES	Favoris
RECENT	Déroulement de la navigation
QRCODE	Code QR
QR_URL_TOO_BIG	URL trop long. Impossible de générer un code QR.
CTRLKEY	Ctrl
ALTKEY	touche Alt
SHIFTKEY	Maj
AUDIO_MUTE	Suspendre l'audio
AUDIO_PLAY	Lire audio
AUDIO_PAUSE	Pause audio
AUDIO_ON	Audio activé
AUDIO_OFF	Audio désactivé
CHANNEL_MASTER	Maître
CHANNEL_BOOKSOUND	Son du livre
CHANNEL_NARRATIVE	Narration
CHANNEL_EFFECTS	Effets
LIB_NOMATCH	Aucun résultat
LIB_NOFILTER	Aucun filtre
LIBFLAG_NEWWIN	Ouvrir le contenu dans une nouvelle fenêtre
LIBFLAG_TITLE	Rechercher titre
LIBFLAG_SHORTDESC	Rechercher description synthétique
LIBFLAG_DESC	Description de la recherche
LIBFLAG_KEYW	Recherche par mots-clés
LIBFLAG_SLIDES	Rechercher contenus de page de livre
GUI_TOP_BAR	Barre du haut
GUI_BOTTOM_BAR	Barre du bas
ORIENTATION_TOGGLE_TOP	Barre du haut
ORIENTATION_TOGGLE_BOTTOM	Barre du bas
FEEDBACK	Feedback à l'auteur
FEEDBACK_TITLE	Votre feedback
FEEDBACK_QUESTION	Avez-vous des commentaires relatifs à cette simulation ?
FEEDBACK_MISTAKE	J'ai découvert une erreur
FEEDBACK_COMMENTS	J'ai des commentaires, des souhaits
FEEDBACK_SEND	Envoyer un feedback
SEND_CONTENT	Partager contenu
SEND_CONTENT_SUBJECT	Contenu recommandé
SEND_CONTENT_TEMPLATE	Bonjour,\n\nCe contenu peut vous intéresser. \n\nLégende : Lien @{SEND_CAPTION}\n : @{SEND_LINK}\n\nCordialement,\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Une erreur s'est produite. Contactez l'administrateur.
ERROR_GENERAL	Erreur interne.
ERROR_1	Un bloqueur de fenêtre pop-up empêche l'exécution de la simulation.
ERROR_1.h	Un bloqueur de pop-up a empêché l'ouverture d'une nouvelle fenêtre de navigateur. Fermez le bloqueur de pop-up ou arrêtez-le pour ce domaine.
ERROR_2	Le fichier de configuration nécessaire n'a pas pu être chargé.
ERROR_2.h	@{LESSONPLAYER} n'a pas pu charger le fichier de configuration requis pour un fonctionnement correct.
SCORM_LOCATION_ERROR	Votre progression n'a pas pu être sauvegardée en raison d'une fonctionnalité manquante dans votre système LMS.
RESTART_COMPLETED_LMS_LESSON	Vous commencez une simulation qui a déjà été terminée ou réussie. Tous les points acquis précédemment seront réinitialisés sur zéro et le code Terminé ou Réussi sera désactivé. Voulez-vous vraiment recommencer ?
RESTART_Av_LMS_LESSON	Vous commencez une simulation qui a déjà été terminée ou réussie. Tous les points acquis précédemment seront réinitialisés sur zéro et le code Terminé ou Réussi sera désactivé. Cliquez sur 'OK' pour recommencer ou sur 'Annuler' pour fermer ?
BOOK_NEXT_CHAPTER	Chapitre suivant
BOOK_PREV_CHAPTER	Chapitre précédent
BOOK_NEXT_PAGE	Page suivante
BOOK_PREV_PAGE	Page précédente
BOOK_INDEX_PAGE	Page de démarrage
SLIDE_MOREINFO	Plus d'informations
SLIDE_TIPS	Conseils
SLIDE_ATTACH	Annexes
SLIDE_SHOWATTACH	Afficher pièces jointes
SLIDE_OPEN	Ouvrir
SLIDE_ADD	Ajouter
SLIDE_EDIT	Éditer
SLIDE_DELETE	Supprimer
SLIDE_BUTTONAREA	Barre de repassage
HELP	Aide
HELP_REGION_BAR	Raccourcis : appuyer pour mettre le focus sur la barre du lecteur
HELP_REGION_PANEL	Appuyer pour mettre le focus sur la barre latérale
HELP_REGION_CONTENT	Appuyer pour mettre le focus sur le contenu
HELP_LIBRARY	Afficher l'aide @{LIBRARY}
HELP_TRAINER	Afficher l'aide @{LESSONPLAYER}
HELP_BOOK	Afficher l'aide @{BOOKPLAYER}
DEMO_START	Mode Démo
DEMO_START1	Dans le mode démo, vous pouvez observer comment une activité est effectuée dans l'application. Suivez simplement la simulation - toutes les étapes seront effectuées automatiquement.
DEMO_START2	À l'aide de la barre de navigation en bas de votre écran, vous pouvez mettre la démo en pause ou l'arrêter. Vous pouvez aussi passer à l'étape suivante ou à l'étape précédente.
DEMO_STOP	Le mode démo est terminé.
CONCURRENT_START	Mode parallèle
CONCURRENT_START1	Le mode parallèle vous montre, étape par étape, comment exécuter une tâche dans l'application.
CONCURRENT_START2	La simulation est interrompue après chaque étape pour vous donner la possibilité de terminer l'étape en application réelle.
CONCURRENT_STOP	Le mode parallèle est terminé.
PRACTICE_START	Mode d'exercice
PRACTICE_START1	En mode d'exercice, vous pouvez mettre en pratique ce que vous avez appris en résolvant vous-même la tâche dans l'application.
PRACTICE_START2	Suivez simplement les instructions étape par étape.
PRACTICE_STOP	Le mode d'exercice est terminé.
TEST_START	Mode Test
TEST_START1	Dans le mode test vous pouvez tester vos connaissances en réalisant vous-même une tâche dans l'application : Hors les données de démonstration à saisir, vous ne recevrez aucune instruction supplémentaire. L'intégralité de la tâche est décrite dans la fenêtre Tâche que vous pouvez agrandir ou réduire selon vos besoins à l'aide des boutons disponibles dans la barre de titre.
TEST_START2	À l'issue du test, vous obtiendrez une note reflétant les étapes réalisées correctement. Il ne s'agit que d'une auto-évaluation concernant la tâche.
TEST_START3	Soyez attentif dans vos interactions, car le système enregistre toutes les erreurs de frappe et de clic et diminue votre score en conséquence. Si vous consultez l'aide au cours d'une étape, vous perdez tous les points correspondant à cette étape.
TEST_START4	Votre score total sera affiché à l'issue du test. Essayez d'atteindre l'objectif, à savoir un score de @{res_mastery_percent}% .
TEST_OK	Test réussi
TEST_OK1	Félicitations, vous avez correctement effectué cette tâche.
TEST_FAILED	Test échoué
TEST_FAILED1	Vous avez obtenu moins de @{res_mastery_percent}% du score maximal possible. Nous vous recommandons de parcourir à nouveau ce cours et de vous réévaluer ensuite en mode Test.
TEST_FINISHED	Ce test était une auto-évaluation uniquement. Ses résultats ne sont ni enregistrés, ni communiqués à des tiers.
TEST_SCORE	Score
TEST_SCOREVALUE	@{res_collected_points} sur @{res_possible_points}
FREEPRESENTATION_START	Mode de présentation libre
FREEPRESENTATION_START1	Le mode de présentation libre permet d'exécuter un processus dans le cadre de la simulation.
FREEPRESENTATION_START2	Effectuez les actions étape par étape. Utilisez la touche F1 pour obtenir de l'aide.
FREEPRESENTATION_STOP	La présentation libre est terminée.
GUIDEDPRESENTATION_START	Mode de présentation guidée
GUIDEDPRESENTATION_START1	Dans le cadre de la simulation, le mode de présentation guidée exécute automatiquement des processus. Le pointeur de la souris et une mise en surbrillance indiquent l'étape actuelle.
GUIDEDPRESENTATION_START2	Effectuez les actions étape par étape, puis confirmez chaque action.
GUIDEDPRESENTATION_STOP	La présentation guidée est terminée.
EXER_FAIL1	L'action que vous avez effectuée était incorrecte.
EXER_FAIL2	L'action que vous avez effectuée était incorrecte. 1 point est déduit de votre score total. Points restants après cette action : @1_rest-points_.
EXER_FAIL3	L'action que vous avez effectuée était incorrecte. 1 point est déduit de votre score total pour chaque erreur commise. Points restants après cette action : @1_rest-points_.
EXER_FAILKEY1	Vous avez appuyé sur la touche @1_key_.
EXER_FAILKEY2	Les touches de fonction pouvant être utilisées ici sont : @1_keys_.
EXER_FAILRADIO	Tous les boutons valides sont surlignés.
EXER_FAILINPUT	Tous les TextArea valides sont surlignés.
EXER_FAILSELECT	Toutes les cases de sélection valides sont surlignées.
EXER_FAILDRAG	Vous avez effectué une opération de type 'faire glisser' non valide @1_keys_.
EXER_FAILDRAG1	Veuillez effectuer une opération de type 'faire glisser' @1_keys_ dans la zone surlignée.
EXER_FAILDROP	Vous avez effectué une opération de type 'déplacer' non valide @1_keys_.
EXER_FAILDROP1	Veuillez effectuer une opération de type 'déplacer' @1_keys_ dans la zone surlignée.
