LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	सामग्री का साझा करें
SHARE_BY_MAIL	इ-मेल के माध्यम से साझा करें
URL_OF_CURRENT_PAGE	वर्तमान पृष्ठ का URL
TASK	कार्य
GLOSSARY	शब्दावली
CONTEXT_INFO	प्रसंग की जानकारी
CONTEXT_ROLES	भूमिकाएं
CONTEXT_ROLES_NOROLES	भूमिकाओं के बिना प्रसंग दिखाएं
CONTEXT_MY_ROLES	मेरी भूमिकाएं
CLOSEBUBBLE	बबल बंद करें
MAXBUBBLE	बबल पुनर्स्थापित करें
MINBUBBLE	बबल न्यूनतम करें
VOLUME	वॉल्यूम
SETTINGS	सेटिंग
CLOSE_TASK	@{TASK} बंद करें
CLOSE	बंद करें
EXIT	निकास
SELECTION	चयन
KEYWORD_SEARCH	कीवर्ड खोज
SEARCH	खोजें
SEARCH_STRING	खोज स्ट्रिंग
KEYWORDS	कीवर्ड
SEARCH_CLEAR	क्लियर खोज इनपुट
FILTER	फ़िल्टर करें
RESOURCES	संसाधन
VIEW	देखें
CANCEL	रद्द करें
CONTINUING	जारी रखें
OK	ठीक
PLAY	चलाएं
PAUSE	विराम दें
BACK	पिछला
PREVIOUS	पिछला
NEXT	अगला
PLAYING	चल रहा है
PAUSED	विराम दें
USERINPUT	इनपुट
IDLE	""
START	पृष्ठ लोड हो रहा है...
RESTART	पुनर्प्रारंभ करें
TEXT	टेक्स्ट
TITLE	शीर्षक
MINIMIZE	न्यूनतम करें
RESTORE	पुनर्स्थापित करें
ACQUIRED_SCORE	प्राप्त स्कोर
TEST_RESULT	परिणाम
TESTDETAILS	विवरणों को दिखाएं
TESTDETAILS1	विवरणों को छिपाएं
PRINT	पृष्ठ प्रिंट करें
LESSON	अनुरूपण
OF	इसका
DESCRIPTION	वर्णन
FULLSCREEN	पूर्ण-स्क्रीन
TOGGLE_TASKINFO	कार्य वर्णन दिखाएं/छिपाएं
PANEL_VIEWMODE	पैनल प्रदर्शन मोड
PANEL_TOGGLE	पैनल दिखाएं/छिपाएं
PANEL	साइडबार/सभी सामग्री
BOOKMARK_FAVORITE	पसंदीदा
CONTENT	सामग्री/प्लेबैंक क्षेत्र
TOC	सामग्रियों की तालिका
FAVORITES	पसंदीदा
RECENT	पृष्ठ इतिहास
QRCODE	QR कोड
QR_URL_TOO_BIG	Url बहुत बड़ा. QR कोड जनरेट नहीं कर सकते.
CTRLKEY	Ctrl
ALTKEY	Alt
SHIFTKEY	Shift
AUDIO_MUTE	ऑडियो म्यूट करें
AUDIO_PLAY	ऑडियो चलाएं
AUDIO_PAUSE	ऑडियो रोकें
AUDIO_ON	ऑडियो चालू
AUDIO_OFF	ऑडियो बंद
CHANNEL_MASTER	मास्टर
CHANNEL_BOOKSOUND	पुस्तिका ध्वनि
CHANNEL_NARRATIVE	वर्णनात्मक
CHANNEL_EFFECTS	प्रभाव
LIB_NOMATCH	कोई मिलान नहीं
LIB_NOFILTER	कोई फ़िल्टर नहीं
LIBFLAG_NEWWIN	एक नई विंडो में सामग्री खोलें
LIBFLAG_TITLE	शीर्षक खोजें
LIBFLAG_SHORTDESC	लघु वर्णन खोजें
LIBFLAG_DESC	वर्णन खोजें
LIBFLAG_KEYW	खोज कीवर्ड
LIBFLAG_SLIDES	बुक पृष्ठ सामग्री की खोज करें
GUI_TOP_BAR	शीर्ष बार
GUI_BOTTOM_BAR	निचला बार
ORIENTATION_TOGGLE_TOP	शीर्ष बार
ORIENTATION_TOGGLE_BOTTOM	निचला बार
FEEDBACK	लेखक हेतु फ़ीडबैक
FEEDBACK_TITLE	आपका फ़ीडबैक
FEEDBACK_QUESTION	क्या इस अनुरूपण के लिए आपकी कोई टिप्पणी है?
FEEDBACK_MISTAKE	मुझे एक गलती मिली है
FEEDBACK_COMMENTS	मेरी टिप्पणियां और शुभकामनाएं
FEEDBACK_SEND	फ़ीडबैक भेजें
SEND_CONTENT	सामग्री का साझा करें
SEND_CONTENT_SUBJECT	अनुशंसित सामग्री
SEND_CONTENT_TEMPLATE	नमस्कार,\n\nयह आपके लिए रुचिकर हो सकता है. \n\nकैप्शन: @{SEND_CAPTION}\nलिंक: @{SEND_LINK}\n\nभवदीय\n
MGR_FEEDBACK_UNSPECIFIED_ERR	त्रुटि उत्पन्न हुई. कृपया अपने व्यवस्थापक से संपर्क करें.
ERROR_GENERAL	आंतरिक त्रुटि.
ERROR_1	एक पॉपअप अवरोधक अनुरूपण को चलाए जाने से रोक रहा है.
ERROR_1.h	पॉपअप ब्लॉकर, एक नई ब्राउज़र विंडो खोले जाने से रोकता है. पॉपअप ब्लॉकर बंद करें या इस डोमेन के लिए इसे ऑफ़ पर स्विच करें. 
ERROR_2	आवश्यक कॉन्फ़िगरेशन फ़ाइल लोड नहीं की जा सकी.
ERROR_2.h	@{LESSONPLAYER} उचित कार्यक्षमता के लिए कॉन्फ़िगरेशन फ़ाइल लोड नहीं किया जा सकता.
SCORM_LOCATION_ERROR	आपके LMS सिस्टम में अनुपलब्ध कार्यात्मकता के कारण आपकी प्रगति को सहेजा नहीं जा सका.
RESTART_COMPLETED_LMS_LESSON	आपने वह अनुरूपण प्रारंभ किया है, जो पहले ही पूर्ण हो चुका है या सफलतापूर्वक पास कर दिया गया है.  यह पहले के सभी प्राप्त बिंदु को शून्य पर रीसेट कर देगा और पूर्ण किया गया या पास किया गया ध्वज अनसेट कर देगा. क्या आप वाकई पुनः प्रारंभ करना चाहते हैं?
RESTART_Av_LMS_LESSON	आपने वह अनुरूपण प्रारंभ किया है, जो पहले ही पूर्ण हो चुका है या सफलतापूर्वक पास कर दिया गया है.  यह पहले के सभी प्राप्त बिंदु को शून्य पर रीसेट कर देगा और पूर्ण किया गया या पास किया गया ध्वज अनसेट कर देगा. पुनः प्रारंभ करने के लिए  'ठीक' या बंद करने के लिए 'रद्द करें' क्लिक करें?
BOOK_NEXT_CHAPTER	अगला अध्याय
BOOK_PREV_CHAPTER	पिछला अध्याय
BOOK_NEXT_PAGE	अगला पृष्ठ
BOOK_PREV_PAGE	पिछला पृष्ठ
BOOK_INDEX_PAGE	प्रारंभ पृष्ठ
SLIDE_MOREINFO	अधिक जानकारी
SLIDE_TIPS	युक्तियां
SLIDE_ATTACH	अनुलग्नक
SLIDE_SHOWATTACH	अनुलग्नक दिखाएं
SLIDE_OPEN	खोलें
SLIDE_ADD	जोड़ें
SLIDE_EDIT	संपादित करें
SLIDE_DELETE	हटाएं
SLIDE_BUTTONAREA	प्लेबैंक बार
HELP	सहायता
HELP_REGION_BAR	शॉर्टकटः प्लेयर बार फोकस करने के लिए दबाएं
HELP_REGION_PANEL	साइडबार फोकस करने के लिए दबाएं
HELP_REGION_CONTENT	सामग्री फोकस करने के लिए दबाएं
HELP_LIBRARY	@{LIBRARY} सहायता दिखाएं
HELP_TRAINER	@{LESSONPLAYER} सहायता दिखाएं
HELP_BOOK	@{BOOKPLAYER} सहायता दिखाएं
DEMO_START	डेमो मोड
DEMO_START1	डेमो मोड में, आप एप्लिकेशन के अंतर्गत निष्पादित की जा रही किसी गतिविधि पर ध्यान दे सकते हैं. केवल अनुरूपण का पालन करें; सभी चरण स्वचालित रूप से किए जाएंगे.
DEMO_START2	आप डेमो को विराम देने या रोकने के लिए स्क्रीन के नीचे नेविगेशन बार का उपयोग कर सकते हैं. आप पिछले चरण से अगले या पिछले चरण पर भी जा सकते हैं.
DEMO_STOP	डेमो मोड समाप्त हो गया है.
CONCURRENT_START	समवर्ती मोड
CONCURRENT_START1	समवर्ती मोड आपको चरण-दर-चरण यह दिखाता है कि एप्लिकेशन के अंदर कोई कार्य कैसे निष्पादित करें.
CONCURRENT_START2	आपको वास्तविक एप्लिकेशन में चरण पूरा करने का अवसर देने के लिए, अनुरूपण प्रत्येक चरण के बाद बाधित हो जाता है.
CONCURRENT_STOP	समवर्ती मोड समाप्त हो गया है.
PRACTICE_START	अभ्यास मोड
PRACTICE_START1	अभ्यास मोड में, आप एप्लिकेशन के अंदर स्वयं किसी कार्य का समाधान करके देख सकते हैं कि आपने क्या सीखा है.
PRACTICE_START2	बस चरण-दर-चरण निर्देशों का पालन करें.
PRACTICE_STOP	अभ्यास मोड समाप्त हो गया है.
TEST_START	परीक्षा मोड
TEST_START1	परीक्षण मोड में, आप स्वयं एप्लिकेशन के अंतर्गत कार्य का समाधान करके अपने ज्ञान की जांच कर सकते हैं. उस नमूना डेटा को छोड़ कर, जो आपको दर्ज करना है, आप कोई भी चरण-दर चरण निर्देश प्राप्त नहीं करेंगे. उस कार्य विंडो में संपूर्ण कार्य वर्णित है, जिसे आप संज्ञा बार में बटन का उपयोग करके अपनी आवश्यकता अनुसार बड़ा या छोटा कर सकते हैं. 
TEST_START2	परीक्षा के अंत में, सही तरह से पूरे किए गए चरण की संख्या के आधार पर आपको स्कोर दिया जाएगा.  यह स्कोरिंग, कार्य क्षेत्र पर आपके स्वयं-आंकलन के लिए है.
TEST_START3	कृपया आप जो भी करते हैं, उसके बारे में बहुत सावधान रहें, क्योंकि सिस्टम सभी गलत वर्तनी वाली प्रविष्टि और गलत क्लिक पंजीकृत करेगा और उसके अनुसार आपका स्कोर कम हो जाएगा. अगर आप चरण पूर्ण करने के लिए सिस्टम से सहायता प्राप्त करने का निर्णय लिया है, तो इस विषेश चरण के लिए आपके स्कोर को शून्य पर सेट कर दिया जाएगा.
TEST_START4	परीक्षा के अंत में आपका कुल स्कोर प्रदर्शित किया जाएगा. कृपया @{res_mastery_percent}% का लक्षित स्कोर प्राप्त करने का प्रयास करें.
TEST_OK	परीक्षा उत्तीर्ण
