LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Tartalom megosztása
SHARE_BY_MAIL	Megosztás e-mailben
URL_OF_CURRENT_PAGE	Aktuális oldal URL-je
TASK	Feladat
GLOSSARY	Szójegyzék
CONTEXT_INFO	Kontextusinformáció
CONTEXT_ROLES	Szerepek
CONTEXT_ROLES_NOROLES	Kontextus megjelenítése szerepek nélkül
CONTEXT_MY_ROLES	Saját szerepek
CLOSEBUBBLE	Szövegbuborék eltávolítása
MAXBUBBLE	Buborék visszaállítása
MINBUBBLE	Buborék kis méretre állítása
VOLUME	Mennyiség
SETTINGS	Beállítások
CLOSE_TASK	@{TASK} bezárása
CLOSE	Bezárás
EXIT	Kilépés
SELECTION	Kiválasztás
KEYWORD_SEARCH	Kulcsszó keresése
SEARCH	Keresés
SEARCH_STRING	Keresőkifejezés
KEYWORDS	Kulcsszavak
SEARCH_CLEAR	Keresőszavak törlése
FILTER	Szűrő
RESOURCES	Erőforrások
VIEW	Megjelenítés
CANCEL	Mégse
CONTINUING	Folytatás
OK	OK
PLAY	Lejátszás
PAUSE	Szünet
BACK	Vissza
PREVIOUS	Vissza
NEXT	Következő
PLAYING	Lejátszás
PAUSED	Szünet
USERINPUT	Bevitel
IDLE	""
START	Oldal töltődik...
RESTART	Újraindítás
TEXT	Szöveg
TITLE	Cím
MINIMIZE	Kis méret
RESTORE	Visszaállítás
ACQUIRED_SCORE	Elért pontszám
TEST_RESULT	Eredmény
TESTDETAILS	Részletek megjelenítése
TESTDETAILS1	Részletek elrejtése
PRINT	Oldal nyomtatása
LESSON	Szimuláció
OF	/
DESCRIPTION	Leírás
FULLSCREEN	Teljes képernyő
TOGGLE_TASKINFO	Feladatleírás megjelenítése/elrejtése
PANEL_VIEWMODE	Panelmegjelenítési mód
PANEL_TOGGLE	Panel megjelenítése/elrejtése
PANEL	Oldalsáv/Összes tartalom
BOOKMARK_FAVORITE	Kedvenc
CONTENT	Tartalom/Lejátszási terület
TOC	Tartalomjegyzék
FAVORITES	Favoritok
RECENT	Oldaltörténet
QRCODE	QR-kód
QR_URL_TOO_BIG	Az URL túl hosszú. Nem lehet QR-kódot generálni.
CTRLKEY	Ctrl
ALTKEY	Alt
SHIFTKEY	Shift
AUDIO_MUTE	Némítás
AUDIO_PLAY	Hang lejátszása
AUDIO_PAUSE	Hang szüneteltetése
AUDIO_ON	Hang be
AUDIO_OFF	Hang ki
CHANNEL_MASTER	Törzs
CHANNEL_BOOKSOUND	Könyvhang
CHANNEL_NARRATIVE	Magyarázat
CHANNEL_EFFECTS	Effektusok
LIB_NOMATCH	Nincs találat
LIB_NOFILTER	Nincs szűrő
LIBFLAG_NEWWIN	Új ablakban
LIBFLAG_TITLE	Keresés a címben
LIBFLAG_SHORTDESC	Keresés a rövid leírásban
LIBFLAG_DESC	Keresés a leírásban
LIBFLAG_KEYW	Kulcsszavak keresése
LIBFLAG_SLIDES	Keresés a könyvoldal tartalmában
GUI_TOP_BAR	Felső sáv
GUI_BOTTOM_BAR	Alsó sáv
ORIENTATION_TOGGLE_TOP	Felső sáv
ORIENTATION_TOGGLE_BOTTOM	Alsó sáv
FEEDBACK	Visszajelzés a szerzőnek
FEEDBACK_TITLE	Visszajelzés
FEEDBACK_QUESTION	Vannak észrevételei ezzel a szimulációval kapcsolatban?
FEEDBACK_MISTAKE	Hibát találtam
FEEDBACK_COMMENTS	Javaslataim, kívánságaim vannak
FEEDBACK_SEND	Visszajelzés elküldése
SEND_CONTENT	Tartalom megosztása
SEND_CONTENT_SUBJECT	Ajánlott tartalom
SEND_CONTENT_TEMPLATE	Üdvözöljük!\n\nEz a tartalom érdekelheti Önt. \n\nFelirat: @{SEND_CAPTION}\nHivatkozás: @{SEND_LINK}\n\nÜdvözlettel,\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Hiba történt. Forduljon az adminisztrátorhoz.
ERROR_GENERAL	Belső hiba.
ERROR_1	Egy előugróablak-blokkoló megakadályozza a szimuláció lejátszását.
ERROR_1.h	Egy előugróablak-blokkoló megakadályozta az új böngészőablak megjelenését. Zárja be az előugróablak-blokkolót, vagy kapcsolja ki erre a tartományra vonatkozóan.
ERROR_2	A szükséges konfigurációs fájlt nem lehetett betölteni.
ERROR_2.h	A(z) @{LESSONPLAYER} nem tudta betölteni a megfelelő működéshez szükséges konfigurációs fájlt.
SCORM_LOCATION_ERROR	Az LMS-rendszerből hiányzó funkció miatt az előmenetelt nem lehetett menteni.
RESTART_COMPLETED_LMS_LESSON	Olyan szimulációt indított el, amelyet már elvégzett vagy sikeresen teljesített. Ezzel nullára állítja vissza a korábban elért pontszámát, és törli a befejezett vagy megfelelt jelzést. Valóban újra szeretné kezdeni?
RESTART_Av_LMS_LESSON	Olyan szimulációt indított el, amelyet már elvégzett vagy sikeresen teljesített. Ezzel nullára állítja vissza a korábban elért pontszámát, és törli a befejezett vagy megfelelt jelzést. Az újraindításhoz kattintson az OK gombra, a bezáráshoz pedig a Mégse gombra.
BOOK_NEXT_CHAPTER	Következő fejezet
BOOK_PREV_CHAPTER	Előző fejezet
BOOK_NEXT_PAGE	Következő oldal
BOOK_PREV_PAGE	Előző oldal
BOOK_INDEX_PAGE	Kezdőoldal
SLIDE_MOREINFO	További információ
SLIDE_TIPS	Tippek
SLIDE_ATTACH	Mellékletek
SLIDE_SHOWATTACH	Mellékletek megjelenítése
SLIDE_OPEN	Megnyitás
SLIDE_ADD	Hozzáadás
SLIDE_EDIT	Szerkesztés
SLIDE_DELETE	Törlés
SLIDE_BUTTONAREA	Lejátszás sávja
HELP	Súgó
HELP_REGION_BAR	Billentyűparancsok: Fókusz a lejátszó sávjára
HELP_REGION_PANEL	Fókusz az oldalsávra
HELP_REGION_CONTENT	Fókusz a tartalomra
HELP_LIBRARY	@{LIBRARY} súgójának megjelenítése
HELP_TRAINER	@{LESSONPLAYER} súgójának megjelenítése
HELP_BOOK	@{BOOKPLAYER} súgójának megjelenítése
DEMO_START	Demó mód
DEMO_START1	Demó módban nyomon követheti egy feladat végrehajtását az alkalmazásban. Csak figyelje a bemutatót: valamennyi lépés automatikusan végrehajtásra kerül.
DEMO_START2	A képernyő alján megjelenő navigációs sávval szüneteltetheti vagy leállíthatja az előadást. Ezen kívül előreugorhat a következő, illetve visszaugorhat az előző lépéshez.
DEMO_STOP	A demó mód befejeződött.
CONCURRENT_START	Egyidejű mód
CONCURRENT_START1	Egyidejű módban lépésenként láthatja, hogyan kell végrehajtani a feladatot az alkalmazásban.
CONCURRENT_START2	A szimuláció minden lépés után megszakad, lehetőséget adva rá, hogy Ön is elvégezze a műveletet a tényleges alkalmazásban.
CONCURRENT_STOP	Az egyidejű üzemmód befejeződött.
PRACTICE_START	Gyakorlás mód
PRACTICE_START1	Gyakorlás módban kipróbálhatja a tanultakat, önállóan megoldva a feladatot az alkalmazásban.
PRACTICE_START2	Csak a lépésenkénti útmutatót kell követnie.
PRACTICE_STOP	A gyakorlás mód befejeződött.
TEST_START	Teszt mód
TEST_START1	Teszt módban önállóan ellenőrizheti a tudását egy feladat megoldásával az alkalmazásban: a megadandó mintaadatokon kívül nem kap lépésenkénti útmutatást. A teljes feladat ismertetése a feladatablakban olvasható, amelyet igény szerint nagyíthat vagy kicsinyíthet a címsáv gombjaival.
TEST_START2	A teszt végén a rendszer a sikeresen végrehajtott lépések alapján értékeli a teljesítményét. Ez a pontszám önértékelésre szolgál a feladatterületen.
TEST_START3	Figyelmesen hajtsa végre a műveleteket, mivel a rendszer regisztrálja az elgépeléseket és a helytelen kattintásokat, ennek megfelelően csökkentve a pontszámot. Ha úgy dönt, hogy egy lépéshez segítséget vesz igénybe, akkor ezzel elveszti az adott lépésre kapható pontokat.
TEST_START4	A teszt végén megjelenik az összpontszám. Próbáljon legalább @{res_mastery_percent}%-os eredményt elérni.
TEST_OK	Megfelelt a teszten.
TEST_OK1	Gratulálunk, sikeresen teljesítette ezt a feladatot!
TEST_FAILED	Nem felelt meg a teszten.
TEST_FAILED1	Mivel nem érte el a maximális pontszám @{res_mastery_percent} %-át, ajánlatos e tanfolyam anyagát még egyszer átvenni, majd azt követően ismételten ellenőrizni a tudását teszt módban.
TEST_FINISHED	Ez a teszt kizárólag önértékelésre szolgál. Az eredményeket a rendszer nem regisztrálja, és nem is továbbítja.
TEST_SCORE	Pontszám
TEST_SCOREVALUE	@{res_collected_points} / @{res_possible_points}
FREEPRESENTATION_START	Szabad bemutató mód
FREEPRESENTATION_START1	Szabad bemutató módban folyamatot hajthat végre a szimuláción belül.
FREEPRESENTATION_START2	Végezze el a műveleteket lépésenként. Segítségért nyomja meg az F1 billentyűt.
FREEPRESENTATION_STOP	A szabad bemutató befejeződött.
GUIDEDPRESENTATION_START	Irányított bemutató mód
GUIDEDPRESENTATION_START1	Az Irányított bemutató mód automatikusan végrehajt egy folyamatot a szimuláción belül. Egérmutató és kiemelés jeleníti meg az aktuális lépést.
GUIDEDPRESENTATION_START2	Kövesse a műveleteket lépésenként, és azután mindegyiket erősítse meg.
GUIDEDPRESENTATION_STOP	Az irányított bemutató befejeződött.
EXER_FAIL1	Az elvégzett művelet helytelen volt.
EXER_FAIL2	A végrehajtott művelet helytelen volt. 1 ponttal csökkent az összpontszáma. A műveletért még kapható pontok száma: @1_rest-points_.
EXER_FAIL3	A végrehajtott művelet helytelen volt. 1 ponttal csökken az összpontszáma minden elkövetett hiba esetén. A műveletért még kapható pontok száma: @1_rest-points_.
EXER_FAILKEY1	Megnyomta a(z) @1_key_ billentyűt.
EXER_FAILKEY2	A használható funkcióbillentyűk a következők: @1_keys_.
