LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Konten Berbagi
SHARE_BY_MAIL	Bagi melalui email
URL_OF_CURRENT_PAGE	URL halaman ini
TASK	Tugas
GLOSSARY	Glosarium
CONTEXT_INFO	Informasi Konteks
CONTEXT_ROLES	Peran
CONTEXT_ROLES_NOROLES	Tampilkan konteks tanpa peran
CONTEXT_MY_ROLES	Peran saya
CLOSEBUBBLE	Hapus gelembung
MAXBUBBLE	Pulihkan gelembung teks
MINBUBBLE	Minimalkan gelembung teks
VOLUME	Volume
SETTINGS	Pengaturan
CLOSE_TASK	Tutup @{TASK}
CLOSE	Tutup
EXIT	Keluar
SELECTION	Pilihan
KEYWORD_SEARCH	Pencarian Kata Kunci
SEARCH	Cari
SEARCH_STRING	Mencari istilah
KEYWORDS	Kata kunci
SEARCH_CLEAR	Hapus Masukan Pencarian
FILTER	Filter
RESOURCES	Sumber daya
VIEW	Lihat
CANCEL	Batalkan
CONTINUING	Lanjutkan
OK	O.K.
PLAY	Putar
PAUSE	Jeda
BACK	Kembali
PREVIOUS	Sebelumnya
NEXT	Selanjutnya
PLAYING	Memutar
PAUSED	Jeda
USERINPUT	Masukan
IDLE	""
START	Memuat halaman ...
RESTART	Mulai ulang
TEXT	Teks
TITLE	Judul
MINIMIZE	Minimalkan
RESTORE	Pulihkan
ACQUIRED_SCORE	Nilai yang Didapatkan
TEST_RESULT	Hasil
TESTDETAILS	Tampilkan Rincian
TESTDETAILS1	Sembunyikan Rincian
PRINT	Cetak Halaman
LESSON	Simulasi
OF	dari
DESCRIPTION	Deskripsi
FULLSCREEN	Layar penuh
TOGGLE_TASKINFO	Tampilkan/Sembunyikan Deskripsi Tugas
PANEL_VIEWMODE	Mode Tampilan Panel
PANEL_TOGGLE	Tampilkan/Sembunyikan Panel
PANEL	Sidebar/Semua Konten
BOOKMARK_FAVORITE	Favorit
CONTENT	Konten/Area Playback
TOC	Daftar Isi
FAVORITES	Favorit
RECENT	Riwayat Halaman
QRCODE	Kode QR
QR_URL_TOO_BIG	Url terlalu besar. Tidak dapat membuat kode QR.
CTRLKEY	ctrl
ALTKEY	alt
SHIFTKEY	shift
AUDIO_MUTE	Bisukan Audio
AUDIO_PLAY	Putar Audio
AUDIO_PAUSE	Jeda Audio
AUDIO_ON	Audio hidup
AUDIO_OFF	Audio mati
CHANNEL_MASTER	Utama
CHANNEL_BOOKSOUND	Suara buku
CHANNEL_NARRATIVE	Narasi
CHANNEL_EFFECTS	Efek
LIB_NOMATCH	Tidak ada yang cocok
LIB_NOFILTER	Tidak ada filter
LIBFLAG_NEWWIN	Buka konten dalam jendela baru
LIBFLAG_TITLE	Mencari judul
LIBFLAG_SHORTDESC	Cari deskripsi singkat
LIBFLAG_DESC	Mencari keterangan
LIBFLAG_KEYW	Mencari kata kunci
LIBFLAG_SLIDES	Cari konten halaman buku
GUI_TOP_BAR	Bar atas
GUI_BOTTOM_BAR	Bar bawah
ORIENTATION_TOGGLE_TOP	Bar atas
ORIENTATION_TOGGLE_BOTTOM	Bar bawah
FEEDBACK	Saran ke penulis
FEEDBACK_TITLE	Saran Anda
FEEDBACK_QUESTION	Apakah Anda mempunyai komentar untuk simulasi ini?
FEEDBACK_MISTAKE	Saya menemukan sebuah kesalahan
FEEDBACK_COMMENTS	Saya mempunyai komentar dan harapan
FEEDBACK_SEND	Kirim saran
SEND_CONTENT	Konten Berbagi
SEND_CONTENT_SUBJECT	Konten yang direkomendasikan
SEND_CONTENT_TEMPLATE	Halo,\n\nKonten ini mungkin menarik untuk Anda. \n\nKeterangan: @{SEND_CAPTION}\nTautan: @{SEND_LINK}\n\nSalam\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Terjadi kesalahan. Silakan hubungi administrator Anda.
ERROR_GENERAL	Kesalahan internal.
ERROR_1	Penghalang popup mencegah simulasi tidak dapat dijalankan.
ERROR_1.h	Penghalang popup telah mencegah untuk membuka jendela browser baru. Tutup penghalang popup atau matikan untuk domain ini.
ERROR_2	File konfigurasi yang dibutuhkan tidak dapat dimuat.
ERROR_2.h	@{LESSONPLAYER} tidak dapat memuat file konfigurasi yang diperlukan untuk fungsi yang tepat.
SCORM_LOCATION_ERROR	Kemajuan Anda tidak dapat disimpan karena terdapat fungsi yang hilang dalam sistem LMS Anda.
RESTART_COMPLETED_LMS_LESSON	Anda akan memulai simulasi yang telah dituntaskan atau yang berhasil lulus. Ini akan menghapus semua nilai yang sudah Anda peroleh sebelumnya menjadi nol dan pelajaran dianggap tidak tuntas atau tidak lulus. Apakah Anda benar-benar ingin mengulang?
RESTART_Av_LMS_LESSON	Anda akan memulai simulasi yang telah dituntaskan atau yang berhasil lulus. Ini akan menghapus semua nilai yang sudah Anda peroleh sebelumnya menjadi nol dan pelajaran dianggap tidak tuntas atau tidak lulus. Klik 'OK untuk mulai ulang atau 'Batalkan' untuk menutup?
BOOK_NEXT_CHAPTER	Bab Selanjutnya
BOOK_PREV_CHAPTER	Bab Sebelumnya
BOOK_NEXT_PAGE	Halaman Selanjutnya
BOOK_PREV_PAGE	Halaman Sebelumnya
BOOK_INDEX_PAGE	Halaman Awal
SLIDE_MOREINFO	Informasi Lebih Lanjut
SLIDE_TIPS	Kiat
SLIDE_ATTACH	Lampiran
SLIDE_SHOWATTACH	Tampilkan Lampiran
SLIDE_OPEN	Buka
SLIDE_ADD	Tambah
SLIDE_EDIT	Edit
SLIDE_DELETE	Hapus
SLIDE_BUTTONAREA	Playback Bar
HELP	Bantuan
HELP_REGION_BAR	Shortcut: Tekan untuk memfokuskan player bar
HELP_REGION_PANEL	Tekan untuk memfokuskan sidebar
HELP_REGION_CONTENT	Tekan untuk memfokuskan konten
HELP_LIBRARY	Tampilkan bantuan @{LIBRARY}
HELP_TRAINER	Tampilkan bantuan @{LESSONPLAYER}
HELP_BOOK	Tampilkan bantuan @{BOOKPLAYER}
DEMO_START	Mode Demo
DEMO_START1	Dalam Mode Demo Anda dapat mengamati pelaksanaan sebuah tugas di dalam aplikasi. Anda cukup mengikuti simulasi, semua tahapan akan dijalankan secara otomatis.
DEMO_START2	Dengan menggunakan panel navigasi di bagian bawah, Anda dapat menghentikan sementara atau menunda demonstrasi. Anda juga dapat melompat maju ke tahap berikutnya dan kembali ke tahap sebelumnya.
DEMO_STOP	Mode Demo selesai.
CONCURRENT_START	Mode Serentak
CONCURRENT_START1	Dalam Mode Serentak Anda akan mendapatkan petunjuk tahapan demi tahapan untuk melaksanakan sebuah tugas dalam aplikasi.
CONCURRENT_START2	Setelah setiap tahapan ditampilkan, simulasi dihentikan sementara, sehingga Anda berkesempatan untuk menyelesaikan tahapan tersebut dalam aplikasi nyata.
CONCURRENT_STOP	Mode Serentak selesai.
PRACTICE_START	Mode Latihan
PRACTICE_START1	Dalam Mode Latihan Anda dapat mencoba tugas yang telah dipelajari dengan menyelesaikan sendiri tugas ini dalam aplikasi.
PRACTICE_START2	Anda cukup mengikuti petunjuk tahap demi tahap.
PRACTICE_STOP	Mode Latihan selesai.
TEST_START	Mode Uji
TEST_START1	Dalam Mode Tes Anda dapat menguji pengetahuan Anda dengan menyelesaikan sendiri tugas ini dalam aplikasi: Selain data-data contoh yang harus dimasukkan, Anda tidak akan menerima instruksi yang berhubungan dengan langkah kerja. Seluruh tugas diuraikan dalam jendela tugas yang dapat Anda perbesar atau perkecil sesuai dengan kebutuhan dengan tombol dalam bar judul.
TEST_START2	Pada akhir tes Anda akan mendapatkan penilaian berdasarkan tahap-tahap yang berhasil dilakukan. Penilaian ini adalah untuk diri Anda sendiri mengenai area tugas ini.
TEST_START3	Silakan Anda bertindak dengan sangat berhati-hati, karena sistem mencatat semua kesalahan penulisan dan klik yang salah, dan sesuai dengannya, penilaian dikurangi. Jika Anda memutuskan untuk menerima bantuan dari sistem untuk menyelesaikan tahapan, Anda akan kehilangan semua angka yang diberikan untuk tahap ini.
TEST_START4	Total nilai Anda akan ditampilkan di akhir tes. Harap coba untuk memenuhi target nilai @{res_mastery_percent}% .
TEST_OK	Tes berhasil
TEST_OK1	Selamat, Anda telah berhasil menyelesaikan tugas ini.
TEST_FAILED	Tes gagal
TEST_FAILED1	Karena Anda telah mencapai kurang dari @{res_mastery_percent}% dari kemungkinan nilai, kami menyarankan Anda untuk mengulangi konten kursus ini sekali lagi dan kemudian menguji pengetahuan Anda sekali lagi dalam mode tes.
TEST_FINISHED	Tes ini hanya untuk menilai kemampuan Anda sendiri. Hasilnya tidak akan dicatat dan juga tidak akan diteruskan kepada pihak yang ketiga.
TEST_SCORE	Nilai
TEST_SCOREVALUE	@{res_collected_points} dari @{res_possible_points}
FREEPRESENTATION_START	Mode Presentasi Bebas
FREEPRESENTATION_START1	Mode Presentasi Bebas memungkinkan Anda untuk melaksanakan proses dalam simulasi.
FREEPRESENTATION_START2	Lakukan tindakan langkah demi langkah. Gunakan tombol F1 untuk mendapatkan bantuan.
FREEPRESENTATION_STOP	Presentasi Bebas selesai.
GUIDEDPRESENTATION_START	Mode Presentasi Terarah
GUIDEDPRESENTATION_START1	Mode Presentasi Terarah melaksanakan proses dalam simulasi secara otomatis. Pointer mouse dan sorotan menampilkan tahap saat ini.
GUIDEDPRESENTATION_START2	Lakukan tindakan langkah demi langkah dan konfirmasi setiap tindakan sesudahnya.
GUIDEDPRESENTATION_STOP	Presentasi Terarah selesai.
EXER_FAIL1	Tindakan yang Anda lakukan tidak benar.
EXER_FAIL2	Tindakan yang Anda lakukan tidak benar. 1 nilai telah dikurangi dari total nilai Anda. Nilai yang tersisa untuk tindakan ini: @1_rest-points_.
