LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Мазмұнды ортақ пайдалану
SHARE_BY_MAIL	Электрондық пошта арқылы ортақ пайдалану
URL_OF_CURRENT_PAGE	Ағымдағы беттің URL мекенжайы
TASK	Тапсырма
GLOSSARY	Глоссарий
CONTEXT_INFO	Мәнмәтін ақпараты
CONTEXT_ROLES	Рөлдер
CONTEXT_ROLES_NOROLES	Рөлдері жоқ мәнмәтінді көрсету
CONTEXT_MY_ROLES	Менің рөлдерім
CLOSEBUBBLE	Жолма-жол ескертуді жабу
MAXBUBBLE	Жолма-жол ескертуді қалпына келтіру
MINBUBBLE	Жолма-жол ескертуді кішірейту
VOLUME	Көлемі
SETTINGS	Параметрлер
CLOSE_TASK	@{TASK} жабу
CLOSE	Жабу
EXIT	Шығу
SELECTION	Таңдау
KEYWORD_SEARCH	Кілтсөзді іздеу
SEARCH	Іздеу
SEARCH_STRING	Іздеу жолы
KEYWORDS	Кілтсөздер
SEARCH_CLEAR	Іздеу енгізілімін тазалау
FILTER	Сүзгі
RESOURCES	Ресурстар
VIEW	Көрініс
CANCEL	Болдырмау
CONTINUING	Жалғастыру
OK	OK
PLAY	Ойнату
PAUSE	Кідірту
BACK	Артқа
PREVIOUS	Алдыңғы
NEXT	Келесі
PLAYING	Ойнату
PAUSED	Кідірту
USERINPUT	Енгізілім
IDLE	""
START	Бет жүктелуде...
RESTART	Қайта іске қосу
TEXT	Мәтін
TITLE	Тақырып
MINIMIZE	Жию
RESTORE	Қалпына келтіру
ACQUIRED_SCORE	Алынған ұпай
TEST_RESULT	Нәтиже
TESTDETAILS	Мәліметтерді көрсету
TESTDETAILS1	Мәліметтерді жасыру
PRINT	Басып шығару беті
LESSON	Үлгілеу
OF	/
DESCRIPTION	Сипаттама
FULLSCREEN	Толық экран
TOGGLE_TASKINFO	Тапсырма сипаттамасын көрсету/жасыру
PANEL_VIEWMODE	Панельді көрсету режимі
PANEL_TOGGLE	Панельді көрсету/жасыру
PANEL	Бүйірлік панель/барлық мазмұн
BOOKMARK_FAVORITE	Таңдаулы
CONTENT	Мазмұн/ойнату аймағы
TOC	Мазмұны
FAVORITES	Таңдаулылар
RECENT	Навигация тарихы
QRCODE	QR коды
QR_URL_TOO_BIG	URL тым үлкен. QR кодын құру мүмкін емес.
CTRLKEY	ctrl
ALTKEY	alt
SHIFTKEY	shift
AUDIO_MUTE	Дыбысты өшіру
AUDIO_PLAY	Дыбысты ойнату
AUDIO_PAUSE	Дыбысты тоқтата тұру
AUDIO_ON	Дыбысты қосу
AUDIO_OFF	Дыбысты өшіру
CHANNEL_MASTER	Негізгі
CHANNEL_BOOKSOUND	Кітап даусы
CHANNEL_NARRATIVE	Хабарлы
CHANNEL_EFFECTS	Әсерлер
LIB_NOMATCH	Сәйкестік жоқ
LIB_NOFILTER	Сүзгісіз
LIBFLAG_NEWWIN	Мазмұнды жаңа терезеде ашу
LIBFLAG_TITLE	Тақырыпты іздеу
LIBFLAG_SHORTDESC	Қысқаша сипаттаманы іздеу
LIBFLAG_DESC	Сипаттаманы іздеу
LIBFLAG_KEYW	Кілтсөздерді іздеу
LIBFLAG_SLIDES	Кітап бетінің мазмұнын іздеу
GUI_TOP_BAR	Жоғарғы жолақ
GUI_BOTTOM_BAR	Төменгі жолақ
ORIENTATION_TOGGLE_TOP	Жоғарғы жолақ
ORIENTATION_TOGGLE_BOTTOM	Төменгі жолақ
FEEDBACK	Авторға пікір
FEEDBACK_TITLE	Сіздің пікіріңіз
FEEDBACK_QUESTION	Осы үлгілеуге қатысты түсіндірмелеріңіз бар ма?
FEEDBACK_MISTAKE	Мен қате таптым
FEEDBACK_COMMENTS	Мен түсіндірмелер, тілектер қалдырғым келеді
FEEDBACK_SEND	Пікір жіберу
SEND_CONTENT	Мазмұнды ортақ пайдалану
SEND_CONTENT_SUBJECT	Ұсынылатын мазмұн
SEND_CONTENT_TEMPLATE	Сәлем,\n\nБұл мазмұн сіз үшін қызық болуы мүмкін. \n\nСурет жазуы: @{SEND_CAPTION}\nСілтеме: @{SEND_LINK}\n\nҚұрметпен\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Қате орын алды. Әкімшіге хабарласыңыз.
ERROR_GENERAL	Ішкі қате.
ERROR_1	Қалқымалы блоктаушы үлгілеудің ойнатылуын болдырмайды.
ERROR_1.h	Қалқымалы блоктаушы жаңа браузер терезесінің ашылуының алдын алды. Қалқымалы блоктаушыны жабыңыз немесе оны бұл домен үшін өшіріңіз.
ERROR_2	Қажетті конфигурация файлын жүктеу мүмкін болмады.
ERROR_2.h	@{LESSONPLAYER} Тиісті жұмыс істеуге қажетті конфигурация файлын жүктей алмады.
SCORM_LOCATION_ERROR	Орындалу барысын LMS жүйесінің функциясы болмауына байланысты сақтау мүмкін болмады.
RESTART_COMPLETED_LMS_LESSON	Орындалып қойған немесе сәтті түрде өткізілген үлгілеуді бастамақшысыз. Бұл барлық алдыңғы алынған ұпайларды нөлге келтіріп, аяқталған немесе өткізілген жалаушаны бастапқы қалпына келтіреді. Шынымен қайта іске қосқыңыз келе ме?
RESTART_Av_LMS_LESSON	Орындалып қойған немесе сәтті түрде өткізілген үлгілеуді бастамақшысыз. Бұл барлық алдыңғы алынған ұпайларды нөлге келтіріп, аяқталған немесе өткізілген жалаушаны бастапқы қалпына келтіреді. Қайта іске қосу үшін “OK” түймесін немесе жабу үшін “Болдырмау” түймесін басу қажет пе?
BOOK_NEXT_CHAPTER	Келесі тарау
BOOK_PREV_CHAPTER	Алдыңғы тарау
BOOK_NEXT_PAGE	Келесі бет
BOOK_PREV_PAGE	Алдыңғы бет
BOOK_INDEX_PAGE	Бастапқы бет
SLIDE_MOREINFO	Қосымша ақпарат
SLIDE_TIPS	Кеңестер
SLIDE_ATTACH	Тіркемелер
SLIDE_SHOWATTACH	Тіркемелерді көрсету
SLIDE_OPEN	Ашу
SLIDE_ADD	Қосу
SLIDE_EDIT	Өңдеу
SLIDE_DELETE	Жою
SLIDE_BUTTONAREA	Ойнату жолағы
HELP	Анықтама
HELP_REGION_BAR	Пернелер тіркесімдері: ойнатқыш жолағын фокустау үшін басу
HELP_REGION_PANEL	Бүйірлік панельді фокустау үшін басу
HELP_REGION_CONTENT	Мазмұнды фокустау үшін басу
HELP_LIBRARY	@{LIBRARY} Анықтамасын көрсету
HELP_TRAINER	@{LESSONPLAYER} Анықтамасын көрсету
HELP_BOOK	@{BOOKPLAYER} Анықтамасын көрсету
DEMO_START	Демо режим
DEMO_START1	Демо режимде қолданбада орындалып жатқан әрекетті бақылай аласыз. Жай ғана үлгілеуді орындаңыз; барлық қадамдар автоматты түрде орындалатын болады.
DEMO_START2	Демо көрсетілімді тоқтата тұру немесе тоқтату үшін, экранның төменгі жағындағы навигация жолағын пайдалануыңызға болады. Сонымен қатар, келесі қадамға өту үшін алға немесе алдыңғы қадамға өту үшін артқа өтуіңізге болады.
DEMO_STOP	Демо режим аяқталды.
CONCURRENT_START	Қатарлас режим
CONCURRENT_START1	Қатарлас режим қолданба ішінде тапсырманы орындаудың қадамдық жолын көрсетеді.
CONCURRENT_START2	Үлгілеу әрбір қадамнан кейін тоқтатылып отырады, бұл қадамды кәдімгі қолданбада аяқтауға мүмкіндік береді.
CONCURRENT_STOP	Қатарлас режим аяқталды.
PRACTICE_START	Жаттығу режимі
PRACTICE_START1	Жаттығу режимінде қолданбадағы тапсырманы өзіңіз орындау арқылы үйренгендеріңізді жаттығып көре аласыз.
PRACTICE_START2	Жай ғана қадамдық нұсқауларды орындаңыз.
PRACTICE_STOP	Жаттығу режимі аяқталды.
TEST_START	Сынақ режимі
TEST_START1	Сынақ режимінде біліміңізді қолданбадағы тапсырманы өз бетіңізше шешу арқылы тексере аласыз: Енгізуіңіз қажет үлгі деректерден бөлек, ешқандай қадамдық нұсқаулар берілмейді. Бүкіл тапсырма тақырып жолағындағы түймелер арқылы қажетінше үлкейтіп не кішірейте алатын тапсырма терезесінде сипатталады.
TEST_START2	Сынақ соңында ұпайларыңыз дұрыс орындалған қадамдар санына байланысты есептеледі. Бұл ұпай есептеуі тапсырма аймағы бойынша өзін-өзі бағалау ғана.
TEST_START3	Орындайтын әрекеттеріңізді бақылауда ұстаңыз, жүйе кез келген қате жазылған енгізілімдер мен қате басылғандарды тіркеп, сәйкесінше ұпайыңызды азайтады. Егер қадамды орындау үшін жүйеден көмек сұрайтын болып шешсеңіз, осы қадамға арналған ұпайыңыз нөлге орнатылады.
TEST_START4	Жалпы ұпайыңыз сынақ соңында көрсетіледі. Мақсатты @{res_mastery_percent}% ұпайына жетуге тырысыңыз.
TEST_OK	Тапсырылған сынақтар
TEST_OK1	Құттықтаймыз, осы тапсырманы сәтті түрде орындадыңыз.
TEST_FAILED	Сынақтан өтпеді
TEST_FAILED1	Ықтимал ең жоғары ұпайдың @{res_mastery_percent}% -нан төмен жинағандықтан, осы оқыту курсында қамтылған мазмұнды тағы бір рет қарап шығып, біліміңізді сынақ режимінде тағы бір тексеруді ұсынамыз.
TEST_FINISHED	Бұл сынақ өзін-өзі бағалау мақсатында ғана болып табылады. Нәтижелер жазып алынбайды немесе үшінші тарапқа жіберілмейді.
TEST_SCORE	Ұпай
TEST_SCOREVALUE	@{res_collected_points} / @{res_possible_points}
FREEPRESENTATION_START	Еркін көрсетілім режимі
FREEPRESENTATION_START1	Еркін көрсетілім режимі процесті үлгілеу ішінде орындауға мүмкіндік береді.
FREEPRESENTATION_START2	Әрекеттерді біртіндеп орындаңыз. Анықтама алу үшін, F1 пернесін пайдаланыңыз.
