LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Dalytis turiniu
SHARE_BY_MAIL	Dalytis el. paštu
URL_OF_CURRENT_PAGE	Dabartinio puslapio URL
TASK	Užduotis
GLOSSARY	Terminų žodynas
CONTEXT_INFO	Konteksto informacija
CONTEXT_ROLES	Vaidmenys
CONTEXT_ROLES_NOROLES	Rodyti kontekstą, kuris neturi vaidmenų
CONTEXT_MY_ROLES	Mano vaidmenys
CLOSEBUBBLE	Uždaras burbulas
MAXBUBBLE	Atkurti burbulą
MINBUBBLE	Minimizuoti burbulą
VOLUME	Apimtis
SETTINGS	Parametrai
CLOSE_TASK	uždaryti @{TASK}
CLOSE	Uždaryti
EXIT	Išeiti
SELECTION	Pasirinkimas
KEYWORD_SEARCH	Raktinių žodžių ieška
SEARCH	Ieškoti
SEARCH_STRING	Ieškoti eilutėje
KEYWORDS	Raktažodžiai
SEARCH_CLEAR	Valdyti ieškos įvestį
FILTER	Filtruoti
RESOURCES	Ištekliai
VIEW	Peržiūrėti
CANCEL	Atšaukti
CONTINUING	Tęsti
OK	Gerai
PLAY	Atkurti
PAUSE	Pristabdyti
BACK	Atgal
PREVIOUS	Ankstesnis
NEXT	Paskesnis
PLAYING	Atkuriama
PAUSED	Pristabdyti
USERINPUT	Įvestis
IDLE	„“
START	Įkeliamas puslapis...
RESTART	Paleisti iš naujo
TEXT	Tekstas
TITLE	Pavadinimas
MINIMIZE	Minimizuoti
RESTORE	Atkurti
ACQUIRED_SCORE	Gautas įvertinimas
TEST_RESULT	Rezultatas
TESTDETAILS	Rodyti išsamią informaciją
TESTDETAILS1	Slėpti išsamią informaciją
PRINT	Spausdinti puslapį
LESSON	Modeliavimas
OF	iš
DESCRIPTION	Aprašas
FULLSCREEN	Per visą ekraną
TOGGLE_TASKINFO	Rodyti / slėpti užduoties aprašą
PANEL_VIEWMODE	Skydo rodymo režimas
PANEL_TOGGLE	Rodyti / slėpti skydą
PANEL	Šoninė juosta / Visas turinys
BOOKMARK_FAVORITE	Parankinis
CONTENT	Turinys / Atkūrimo sritis
TOC	Turinys
FAVORITES	Parankiniai
RECENT	Puslapio istorija
QRCODE	QR kodas
QR_URL_TOO_BIG	URL per ilgas. Negalima sugenruoti QR kodo.
CTRLKEY	ctrl
ALTKEY	alternatyvus
SHIFTKEY	shift
AUDIO_MUTE	Nutildyti garsą
AUDIO_PLAY	Paleisti garso failą
AUDIO_PAUSE	Pristabdyti garso failą
AUDIO_ON	Garsas įjungtas
AUDIO_OFF	Garsas išjungtas
CHANNEL_MASTER	Pagrindinis
CHANNEL_BOOKSOUND	Knygos garsas
CHANNEL_NARRATIVE	Pasakojimas
CHANNEL_EFFECTS	Efektai
LIB_NOMATCH	Rezultatų nėra
LIB_NOFILTER	Filtro nėra
LIBFLAG_NEWWIN	Atidaryti turinį naujame lange
LIBFLAG_TITLE	Ieškoti pavadinimo
LIBFLAG_SHORTDESC	Ieškoti trumpojo aprašo
LIBFLAG_DESC	Ieškoti aprašo
LIBFLAG_KEYW	Ieškoti raktinių žodžių
LIBFLAG_SLIDES	Ieškoti knygos puslapio turinio
GUI_TOP_BAR	Viršutinė juosta
GUI_BOTTOM_BAR	Apatinė juosta
ORIENTATION_TOGGLE_TOP	Viršutinė juosta
ORIENTATION_TOGGLE_BOTTOM	Apatinė juosta
FEEDBACK	Autoriui skirtas atsiliepimas
FEEDBACK_TITLE	Jūsų atsiliepimas
FEEDBACK_QUESTION	Ar norite parašyti komentarą apie šį modeiavimą?
FEEDBACK_MISTAKE	Radau klaidą
FEEDBACK_COMMENTS	Turiu komentarų ir pageidavimų
FEEDBACK_SEND	Siųsti atsiliepimą
SEND_CONTENT	Dalytis turiniu
SEND_CONTENT_SUBJECT	Rekomenduojamas turinys
SEND_CONTENT_TEMPLATE	Sveiki,\n\nŠis turinys gali jus sudominti. \n\nAntraštė: @{SEND_CAPTION}\nSaitas: @{SEND_LINK}\n\nPagarbiai\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Įvyko klaida. Kreipkitės į administratorių.
ERROR_GENERAL	Vidinė klaida.
ERROR_1	Iššokančiųjų langų blokavimo priemonė neleidžia paleisti modeliavimo.
ERROR_1.h	Iššokančių langų blokavimo priemonė neleidžia atidaryti naršyklės lango. Uždarykite blokavimo priemonę arba išjunkite ją šiame domene.
ERROR_2	Nepavyko įkelti reikiamo konfigūracijos failo.
ERROR_2.h	@{LESSONPLAYER} nepavyko įkelti konfigūracijos failo, būtino tinkamam funkciniam pajėgumui.
SCORM_LOCATION_ERROR	Nepavyko įrašyti jūsų progreso dėl trūkstamos LMS sistemos funkcijos.
RESTART_COMPLETED_LMS_LESSON	Pradedate modeliavimą, kurį jau užbaigėte arba sėkmingai išlaikėte. Visi pasiekti įvertinimai taps lygūs nuliui ir bus atžymėta užbaigimo arba išlaikymo vėliavėlė. Ar tikrai norite paleisti iš naujo?
RESTART_Av_LMS_LESSON	Pradedate modeliavimą, kurį jau užbaigėte arba sėkmingai išlaikėte. Visi pasiekti įvertinimai taps lygūs nuliui ir bus atžymėta užbaigimo arba išlaikymo vėliavėlė. Spustelėkite „Gerai“, jei norite paleisti iš naujo, arba „Atšaukti“, jei norite uždaryti.
BOOK_NEXT_CHAPTER	Kitas skyrius
BOOK_PREV_CHAPTER	Ankstesnis skyrius
BOOK_NEXT_PAGE	Paskesnis puslapis
BOOK_PREV_PAGE	Ankstesnis puslapis
BOOK_INDEX_PAGE	Pradinis puslapis
SLIDE_MOREINFO	Daugiau informacijos
SLIDE_TIPS	Patarimai
SLIDE_ATTACH	Priedai
SLIDE_SHOWATTACH	Rodyti priedus
SLIDE_OPEN	Atidaryti
SLIDE_ADD	Pridėti
SLIDE_EDIT	Redaguoti
SLIDE_DELETE	Naikinti
SLIDE_BUTTONAREA	Įrašo peržiūros juosta
HELP	Žinynas
HELP_REGION_BAR	Nuorodos: spauskite, norėdami sufokusuoti leistuvo juostą
HELP_REGION_PANEL	Spauskite, norėdami sufokusuoti šoninę juostą
HELP_REGION_CONTENT	Spauskite, norėdami sufokusuoti turinį
HELP_LIBRARY	Rodyti @{LIBRARY} žinyną
HELP_TRAINER	Rodyti @{LESSONPLAYER} žinyną
HELP_BOOK	Rodyti @{BOOKPLAYER} žinyną
DEMO_START	Parodomasis režimas
DEMO_START1	Naudodami demonstracijos režimą, galite stebėti, kaip atliekama veikla taikomojoje programoje. Tiesioj stebėkite modeliavimą. Visi veiksmai atliekami automatiškai.
DEMO_START2	Galite naudoti ekrano apačioje esančią naršymo juostą ir pristabdyti arba išjungti demonstraciją. Be to, galite pereiti prie paskesnio arba ankstesnio veiksmo.
DEMO_STOP	Parodomasis režimas baigtas.
CONCURRENT_START	Lygiagretusis režimas
CONCURRENT_START1	Lygiagretusis režimas paveiksmiui rodo, kaip atlikti užduotį taikomojoje programoje.
CONCURRENT_START2	Modeliavimas nutraukiamas po kiekvieno veiksmos, kada galėtumėte užbaigti veiksmą realioje taikomojoje programoje.
CONCURRENT_STOP	Lygiagretusis režimas užbaigtas.
PRACTICE_START	Praktikos režimas
PRACTICE_START1	Naudodami praktikos režimą galite išbandyti tai, ko išmokote spręsdami užduotis taikomoje programoje.
PRACTICE_START2	Tiesiog vykdykite išsamius nurodymus.
PRACTICE_STOP	Praktikos režimas baigtas.
TEST_START	Testo režimas
TEST_START1	Naudodami testo režimą, galite pasitikrinti žinias spręsdami užduotis taikomojoje programoje. Išskyrus jūsų įvestą duomenų pavyzdį, negausite jokių išsamių nurodymų. Visa užduotis yra aprašyta užduoties lange, kurį galite padidinti arba sumažinti, kai prireiks naudoti antraštės juostos mygtukus.
TEST_START2	Testo pabaigoje, būsite įvertinti pagal teisingai atliktų veiksmų skaičių. Šis įvertinimas skirtas savęs įvertinimui užduočių srityje.
TEST_START3	Būkite atidūs, nes sistemas užregistruos visus klaidingus įvedimus ir spustelėjimus ir atitinkamai sumažins įvertinimą. Jei nuspręsite gauti sistemos pagalbos veiksmui užbaigti, jūsų įvertinimas už atitinkamą veiksmą bus lygus nuliui.
TEST_START4	Bendras įvertinimas rodomas testo pabaigoje. Bandykite pasiekti tikslinį įvertinimą – @{res_mastery_percent} % .
TEST_OK	Testas išlaikytas
TEST_OK1	Sveikiname, sėkmingai baigėte šią užduotį.
TEST_FAILED	Testas nepavyko
TEST_FAILED1	Jūsų įvertinimas yra mažesnis nei @{res_mastery_percent} % galimo maksimalaus įvertinimo, todėl rekomenduojame dar kartą peržiūrėti šio kurso turinį ir pasitikrinus žinias išbandyti testo režimą dar kartą.
TEST_FINISHED	Šis testas skirtas tik savo žinioms įvertinti. Rezultatai nebus įrašyti ar perduoti trečiosioms šalims.
TEST_SCORE	Įvertinimas
TEST_SCOREVALUE	@{res_collected_points} iš @{res_possible_points}
FREEPRESENTATION_START	Laisvas atvaizdavimo režimas
FREEPRESENTATION_START1	Laisvas atvaizdavimo režimas leidžia vykdyti procesą modeliuojant.
FREEPRESENTATION_START2	Vykdyti veiksmus vieną paskui kitą. Naudokite F1 klavišą, norėdami gauti žinyną.
FREEPRESENTATION_STOP	Laisvas atvaizdavimas užbaigtas.
GUIDEDPRESENTATION_START	Valdomo atvaizdavimo režimas
GUIDEDPRESENTATION_START1	Valdomo atvaizdavimo režimas vykdo modeliavimo procesą automatiškai. Pelės žymiklis ir paryškinimas rodo dabartinį veiksmą.
GUIDEDPRESENTATION_START2	Vykdyti veiksmus vieną paskui kitą ir po to patvirtinti kiekvieną veiksmą.
GUIDEDPRESENTATION_STOP	Valdomas atvaizdavimas užbaigtas.
