LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Совместно использовать контент
SHARE_BY_MAIL	Поделиться по электронной почте
URL_OF_CURRENT_PAGE	URL текущей страницы
TASK	Задача
GLOSSARY	Глоссарий
CONTEXT_INFO	Информация контекста
CONTEXT_ROLES	Роли
CONTEXT_ROLES_NOROLES	Показать контекст без ролей
CONTEXT_MY_ROLES	Мои роли
CLOSEBUBBLE	Закрыть выноску
MAXBUBBLE	Восстановить выноску
MINBUBBLE	Свернуть выноску
VOLUME	Громкость
SETTINGS	Параметры настройки
CLOSE_TASK	Закрыть @{TASK}
CLOSE	Закрыть
EXIT	Выход
SELECTION	Выбор
KEYWORD_SEARCH	Поиск по ключевому слову
SEARCH	Поиск
SEARCH_STRING	Строка поиска
KEYWORDS	Ключевые слова
SEARCH_CLEAR	Удалить введенные данные поиска
FILTER	Фильтр
RESOURCES	Ресурсы
VIEW	Просмотреть
CANCEL	Отменить
CONTINUING	Дальше
OK	ОК
PLAY	Воспроизвести
PAUSE	Пауза
BACK	Назад
PREVIOUS	Предыдущий
NEXT	Дальше
PLAYING	Воспроизведение
PAUSED	Пауза
USERINPUT	Ввод
IDLE	""
START	Страница загружается ...
RESTART	Перезапустить
TEXT	Текст
TITLE	Заголовок
MINIMIZE	Свернуть
RESTORE	Восстановить
ACQUIRED_SCORE	Полученный балл
TEST_RESULT	Результат
TESTDETAILS	Показать подробную информацию
TESTDETAILS1	Скрыть подробную информацию
PRINT	Печать страницы
LESSON	Моделирование
OF	из
DESCRIPTION	Описание
FULLSCREEN	Полный экран
TOGGLE_TASKINFO	Показать/скрыть описание задачи
PANEL_VIEWMODE	Режим просмотра панели
PANEL_TOGGLE	Показать/скрыть панель
PANEL	Панель/весь контент
BOOKMARK_FAVORITE	Избранное
CONTENT	Контент/область воспроизведения
TOC	Содержание
FAVORITES	Избранное
RECENT	История страницы
QRCODE	QR-код
QR_URL_TOO_BIG	Слишком длинный URL. Невозможно генерировать QR-код.
CTRLKEY	Ctrl
ALTKEY	Alt
SHIFTKEY	Shift
AUDIO_MUTE	Отключить звук
AUDIO_PLAY	Воспроизвести аудио
AUDIO_PAUSE	Поставить аудио на паузу
AUDIO_ON	Аудио вкл.
AUDIO_OFF	Аудио выкл.
CHANNEL_MASTER	Мастер
CHANNEL_BOOKSOUND	Звук книги
CHANNEL_NARRATIVE	Словесное описание
CHANNEL_EFFECTS	Эффекты
LIB_NOMATCH	Ничего не найдено
LIB_NOFILTER	Без фильтра
LIBFLAG_NEWWIN	Открыть контент в новом окне
LIBFLAG_TITLE	Поиск заголовка
LIBFLAG_SHORTDESC	Поиск краткого описания
LIBFLAG_DESC	Поиск описания
LIBFLAG_KEYW	Поиск ключевых слов
LIBFLAG_SLIDES	Поиск контента страницы книги
GUI_TOP_BAR	Верхняя панель
GUI_BOTTOM_BAR	Нижняя панель
ORIENTATION_TOGGLE_TOP	Верхняя панель
ORIENTATION_TOGGLE_BOTTOM	Нижняя панель
FEEDBACK	Обратная связь автору
FEEDBACK_TITLE	Ваши замечания
FEEDBACK_QUESTION	Есть ли у вас комментарии к этому моделированию?
FEEDBACK_MISTAKE	Мной была найдена ошибка
FEEDBACK_COMMENTS	У меня есть отзывы, пожелания
FEEDBACK_SEND	Послать отзыв
SEND_CONTENT	Совместно использовать контент
SEND_CONTENT_SUBJECT	Рекомендуемый контент
SEND_CONTENT_TEMPLATE	Здравствуйте!\n\nВам может быть интересен этот контент. \n\nПодпись: @{SEND_CAPTION}\nСсылка: @{SEND_LINK}\n\nС уважением,\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Возникла ошибка. Обратитесь к администратору.
ERROR_GENERAL	Внутренняя ошибка.
ERROR_1	Блокировка всплывающих окон препятствует воспроизведению моделирования.
ERROR_1.h	Из-за блокирования всплывающих окон новое окно браузера не было открыто. Закройте блокировщик всплывающих окон или отключите его для этого домена.
ERROR_2	Необходимый файл конфигурации не может быть загружен.
ERROR_2.h	@{LESSONPLAYER} не удалось загрузить файл конфигурации, необходимый для корректного функционирования.
SCORM_LOCATION_ERROR	Ход выполнения сохранить не удалось из-за отсутствующей функции в вашей системе LMS.
RESTART_COMPLETED_LMS_LESSON	Вы запускаете моделирование, которое уже было завершено или успешно пройдено. Все предыдущие баллы будут сброшены на ноль, а также сброшен индикатор завершения или успешного прохождения. Действительно начать с начала?
RESTART_Av_LMS_LESSON	Вы запускаете моделирование, которое уже было завершено или успешно пройдено. Все предыдущие баллы будут сброшены на ноль, а также сброшен индикатор завершения или успешного прохождения. Нажмите 'OK', чтобы перезапустить моделирование, или 'Отмена', чтобы закрыть его.
BOOK_NEXT_CHAPTER	Следующая глава
BOOK_PREV_CHAPTER	Предыдущая глава
BOOK_NEXT_PAGE	Следующая страница
BOOK_PREV_PAGE	Предыдущая страница
BOOK_INDEX_PAGE	Начальная страница
SLIDE_MOREINFO	Подробнее
SLIDE_TIPS	Рекомендации
SLIDE_ATTACH	Вложения
SLIDE_SHOWATTACH	Показать вложения
SLIDE_OPEN	Открыть
SLIDE_ADD	Добавить
SLIDE_EDIT	Редактировать
SLIDE_DELETE	Удалить
SLIDE_BUTTONAREA	Строка воспроизведения
HELP	Справка
HELP_REGION_BAR	Горячие клавиши: нажать для наведения фокуса на строку проигрывателя
HELP_REGION_PANEL	Нажать для наведения фокуса на боковую панель
HELP_REGION_CONTENT	Нажать для наведения фокуса на контент
HELP_LIBRARY	Показать справку @{LIBRARY}
HELP_TRAINER	Показать справку @{LESSONPLAYER}
HELP_BOOK	Показать справку @{BOOKPLAYER}
DEMO_START	Режим демонстрации
DEMO_START1	В режиме демонстрации вы можете наблюдать за операциями, выполняемыми в приложении. Просто смотрите моделирование. Все шаги будут выполнены автоматически.
DEMO_START2	Можно использовать строку навигации внизу экрана, чтобы приостановить или остановить демонстрацию. Можно также перейти к следующему или предыдущему шагу.
DEMO_STOP	Режим демонстрации завершен.
CONCURRENT_START	Параллельный режим
CONCURRENT_START1	В параллельном режиме вы получите пошаговую инструкцию по выполнению задачи в приложении.
CONCURRENT_START2	После каждого шага моделирование прерывается, чтобы вы имели возможность завершить шаг в настоящем приложении.
CONCURRENT_STOP	Параллельный режим завершен.
PRACTICE_START	Режим упражнения
PRACTICE_START1	В режиме упражнения вы можете попробовать использовать пройденный материал, самостоятельно выполняя задачу в приложении.
PRACTICE_START2	Соблюдайте последовательную инструкцию.
PRACTICE_STOP	Режим упражнения завершен.
TEST_START	Тестовый режим
TEST_START1	В тестовом режиме вы можете проверить свои знания, самостоятельно решив задачу в приложении. Кроме вводимых данных для примера, вам не будут предоставлены пошаговые инструкции. Вся задача описана в окне задачи, которое можно при необходимости увеличить или уменьшить с помощью кнопок в строке заголовка.
TEST_START2	В конце теста вам будет выставлен балл на основе количества правильно выполненных шагов. Этот балл отображается в области задачи для самооценки.
TEST_START3	Внимательное следите за выполняемыми действиями, поскольку система зарегистрирует все неправильно введенные данные и щелчки, что приведет к снижению балла. Если потребуется помощь системы для завершения шага, ваш балл за этот шаг будет сброшен на ноль.
TEST_START4	Ваш общий результат в баллах будет отображен в конце теста. Постарайтесь набрать целевое количество баллов @{res_mastery_percent}% .
TEST_OK	Вы прошли тест.
TEST_OK1	Поздравляем! Вы успешно выполнили задание.
TEST_FAILED	Вы не прошли тест.
TEST_FAILED1	Поскольку вы получили менее @{res_mastery_percent} % возможного максимального балла, мы рекомендуем еще раз прочитать содержимое этого учебного курса, а затем повторно проверить свои знания в тестовом режиме.
TEST_FINISHED	Этот тест предназначен только для самооценки. Результаты не будут зарегистрированы или отправлены другим лицам.
TEST_SCORE	Балл
TEST_SCOREVALUE	@{res_collected_points} из @{res_possible_points}
FREEPRESENTATION_START	Режим произвольного представления
FREEPRESENTATION_START1	Режим произвольного представления позволяет выполнять процесс в рамках моделирования.
FREEPRESENTATION_START2	Последовательно выполните шаги. Для получения справки нажмите клавишу F1.
FREEPRESENTATION_STOP	Произвольное представление завершено.
GUIDEDPRESENTATION_START	Режим управляемого представления
GUIDEDPRESENTATION_START1	В режиме управляемого представления процесс в рамках моделирования выполняется автоматически. Для индикации текущего шага используется указатель мыши и выделение.
GUIDEDPRESENTATION_START2	Последовательно выполните шаги и подтвердите действия на каждом этапе.
GUIDEDPRESENTATION_STOP	Управляемое представление завершено.
EXER_FAIL1	Предпринятое вами действие было ошибочным.
EXER_FAIL2	Вами выполнено неправильное действие. Из общего результата вычитается 1 балл. Для этого действия осталось баллов: @1_rest-points_.
EXER_FAIL3	Вами выполнено неправильное действие. Из общего результата вычитается 1 балл за каждую ошибку. Для этого действия осталось баллов: @1_rest-points_.
EXER_FAILKEY1	Вы нажали клавишу @1_key_.
EXER_FAILKEY2	Можно использовать следующие функциональные клавиши: @1_keys_.
EXER_FAILRADIO	Все допустимые экранные кнопки выделены.
EXER_FAILINPUT	Все допустимые области текста выделены.
EXER_FAILSELECT	Все допустимые кнопки выбора выделены.
EXER_FAILDRAG	Вы выполнили неправильное перетаскивание @1_keys_.
EXER_FAILDRAG1	Выполните перетаскивание @1_keys_ в выделенной области.
EXER_FAILDROP	Вы выполнили неправильное завершение перетаскивания @1_keys_.
EXER_FAILDROP1	Выполните завершение перетаскивания @1_keys_ в выделенной области.
EXER_FAILDBLCLICK	Вы выполнили неправильный двойной щелчок @1_keys_.
EXER_FAILDBLCLICK1	Выполните двойной щелчок @1_keys_ в выделенной области.
EXER_FAILCLICK	Вы @1_keys_ нажали неправильную область.
EXER_FAILCLICK1	Все допустимые зоны выделены.
EXER_FAILCLICK2	Вы выполнили неправильный щелчок @1_keys_.
