LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	แชร์เนื้อหา
SHARE_BY_MAIL	แชร์ผ่านอีเมล์
URL_OF_CURRENT_PAGE	URL ของหน้าปัจจุบัน
TASK	งาน
GLOSSARY	อภิธานศัพท์
CONTEXT_INFO	ข้อมูลเนื้อหา
CONTEXT_ROLES	บทบาท
CONTEXT_ROLES_NOROLES	แสดงเนื้อหาที่ไม่มีบทบาท
CONTEXT_MY_ROLES	บทบาทของผู้ใช้
CLOSEBUBBLE	ปิดกรอบคำพูด
MAXBUBBLE	คืนค่ากรอบคำพูด
MINBUBBLE	ย่อกรอบคำพูดให้เล็กสุด
VOLUME	ระดับเสียง
SETTINGS	การกำหนดค่า
CLOSE_TASK	ปิด @{TASK}
CLOSE	ปิด
EXIT	ออก
SELECTION	การเลือก
KEYWORD_SEARCH	ค้นหาโดยใช้คำสำคัญ
SEARCH	ค้นหา
SEARCH_STRING	สตริงการค้นหา
KEYWORDS	คำสำคัญ
SEARCH_CLEAR	ล้างอินพุทการค้นหา
FILTER	ฟิลเตอร์
RESOURCES	ทรัพยากร
VIEW	มุมมอง
CANCEL	ยกเลิก
CONTINUING	ดำเนินการต่อ
OK	ตกลง
PLAY	เล่น
PAUSE	หยุดชั่วขณะ
BACK	ย้อนกลับ
PREVIOUS	ก่อนหน้า
NEXT	ถัดไป
PLAYING	กำลังเล่น
PAUSED	หยุดชั่วขณะ
USERINPUT	การป้อนข้อมูล
IDLE	""
START	กำลังโหลดหน้า...
RESTART	เริ่มต้นใหม่
TEXT	ข้อความ
TITLE	ชื่อ
MINIMIZE	ย่อเล็กสุด
RESTORE	คืนค่า
ACQUIRED_SCORE	คะแนนที่ได้
TEST_RESULT	ผลลัพธ์
TESTDETAILS	แสดงรายละเอียด
TESTDETAILS1	ซ่อนรายละเอียด
PRINT	พิมพ์หน้า
LESSON	การจำลอง
OF	ของ
DESCRIPTION	คำอธิบาย
FULLSCREEN	เต็มจอภาพ
TOGGLE_TASKINFO	แสดง/ซ่อนคำอธิบายงาน
PANEL_VIEWMODE	โหมดการแสดงแผง
PANEL_TOGGLE	แสดง/ซ่อนแผง
PANEL	แถบด้านข้าง/เนื้อหาทั้งหมด
BOOKMARK_FAVORITE	รายการโปรด
CONTENT	เนื้อหา/พื้นที่การเล่น
TOC	สารบัญ
FAVORITES	รายการโปรด
RECENT	ประวัติเพจ
QRCODE	รหัส QR
QR_URL_TOO_BIG	URL ใหญ่เกินไป ไม่สามารถสร้างรหัส QR
CTRLKEY	Ctrl
ALTKEY	Alt
SHIFTKEY	Shift
AUDIO_MUTE	ปิดเสียง
AUDIO_PLAY	เล่นเสียง
AUDIO_PAUSE	หยุดเล่นเสียงชั่วคราว
AUDIO_ON	เปิดเสียง
AUDIO_OFF	ปิดเสียง
CHANNEL_MASTER	ข้อมูลหลัก
CHANNEL_BOOKSOUND	Book Sound
CHANNEL_NARRATIVE	คำบรรยาย
CHANNEL_EFFECTS	เอฟเฟกต์
LIB_NOMATCH	ไม่พบรายการที่ตรงกัน
LIB_NOFILTER	ไม่มีฟิลเตอร์
LIBFLAG_NEWWIN	เปิดเนื้อหาในวินโดว์ใหม่
LIBFLAG_TITLE	ค้นหาชื่อเรื่อง
LIBFLAG_SHORTDESC	ค้นหาคำอธิบายแบบสั้น
LIBFLAG_DESC	ค้นหาคำอธิบาย
LIBFLAG_KEYW	ค้นหาคำสำคัญ
LIBFLAG_SLIDES	ค้นหาเนื้อหาในหน้าหนังสือ
GUI_TOP_BAR	แถบด้านบน
GUI_BOTTOM_BAR	แถบด้านล่าง
ORIENTATION_TOGGLE_TOP	แถบด้านบน
ORIENTATION_TOGGLE_BOTTOM	แถบด้านล่าง
FEEDBACK	ผลตอบรับถึงผู้เขียน
FEEDBACK_TITLE	ผลตอบรับของคุณ
FEEDBACK_QUESTION	คุณมีข้อคิดเห็นเกี่ยวกับการจำลองนี้หรือไม่?
FEEDBACK_MISTAKE	ฉันพบความผิดพลาด
FEEDBACK_COMMENTS	ฉันมีข้อคิดเห็นและสิ่งที่ต้องการ
FEEDBACK_SEND	ส่งผลตอบรับ
SEND_CONTENT	แชร์เนื้อหา
SEND_CONTENT_SUBJECT	เนื้อหาที่แนะนำ
SEND_CONTENT_TEMPLATE	สวัสดี,\n\nเนื้อหานี้อาจน่าสนใจสำหรับคุณ \n\nคำอธิบายภาพ: @{SEND_CAPTION}\nลิงก์: @{SEND_LINK}\n\nขอแสดงความนับถือ\n
MGR_FEEDBACK_UNSPECIFIED_ERR	มีข้อผิดพลาดเกิดขึ้น กรุณาติดต่อผู้ดูแลระบบของคุณ
ERROR_GENERAL	เกิดข้อผิดพลาดภายใน
ERROR_1	ตัวบล็อกป็อปอัพขัดขวางไม่ให้เปิดเล่นการจำลอง
ERROR_1.h	ตัวบล็อกป็อปอัพป้องกันไม่ให้วินโดว์บราวเซอร์ใหม่เปิดขึ้นมา ปิดตัวบล็อกป็อปอัพหรือปิดใช้งานสำหรับโดเมนนี้
ERROR_2	ไม่สามารถโหลดไฟล์การกำหนดรูปแบบที่จำเป็นได้
ERROR_2.h	 @{LESSONPLAYER} ไม่สามารถโหลดไฟล์การกำหนดรูปแบบที่ต้องใช้สำหรับฟังก์ชันที่เหมาะสม
SCORM_LOCATION_ERROR	ไม่สามารถเก็บบันทึกความคืบหน้าของคุณได้เนื่องจากมีฟังก์ชันในระบบ LMS ของคุณที่ขาดหายไป
RESTART_COMPLETED_LMS_LESSON	คุณกำลังเริ่มการจำลองที่เสร็จสมบูรณ์หรือผ่านเรียบร้อยแล้ว การดำเนินการนี้จะทำให้คะแนนที่คุณได้ก่อนหน้านี้ทั้งหมดเหลือศูนย์ และยกเลิกการกำหนดแฟลกว่าเสร็จสมบูรณ์หรือผ่านแล้ว คุณแน่ใจหรือไม่ว่าต้องการเริ่มใหม่?
RESTART_Av_LMS_LESSON	คุณกำลังเริ่มการจำลองที่เสร็จสมบูรณ์หรือผ่านเรียบร้อยแล้ว การดำเนินการนี้จะทำให้คะแนนที่คุณได้ก่อนหน้านี้ทั้งหมดเหลือศูนย์ และยกเลิกการกำหนดแฟลกว่าเสร็จสมบูรณ์หรือผ่านแล้ว คลิก 'ตกลง' เพื่อเริ่มต้นใหม่หรือ 'ยกเลิก' เพื่อปิด?
BOOK_NEXT_CHAPTER	บทถัดไป
BOOK_PREV_CHAPTER	บทก่อนหน้า
BOOK_NEXT_PAGE	หน้าถัดไป
BOOK_PREV_PAGE	หน้าก่อน
BOOK_INDEX_PAGE	หน้าเริ่มต้น
SLIDE_MOREINFO	ข้อมูลเพิ่มเติม
SLIDE_TIPS	เคล็ดลับ
SLIDE_ATTACH	สิ่งที่แนบ
SLIDE_SHOWATTACH	แสดงสิ่งที่แนบ
SLIDE_OPEN	เปิด
SLIDE_ADD	เพิ่ม
SLIDE_EDIT	แก้ไข
SLIDE_DELETE	ลบ
SLIDE_BUTTONAREA	แถบการเล่น
HELP	วิธีใช้
HELP_REGION_BAR	ทางลัด: กดเพื่อโฟกัสแถบ Player
HELP_REGION_PANEL	กดเพื่อโฟกัสแถบด้านข้าง
HELP_REGION_CONTENT	กดเพื่อโฟกัสเนื้อหา
HELP_LIBRARY	แสดงวิธีใช้ @{LIBRARY} 
HELP_TRAINER	แสดงวิธีใช้ @{LESSONPLAYER} 
HELP_BOOK	แสดงวิธีใช้ @{BOOKPLAYER} 
DEMO_START	โหมดสาธิต
DEMO_START1	ในโหมดสาธิต คุณสามารถดูกิจกรรมที่ดำเนินอยู่ภายในแอพพลิเคชัน ให้ทำตามตัวอย่างจำลองดังกล่าว ขั้นตอนต่างๆ ทั้งหมดจะดำเนินไปโดยอัตโนมัติ
DEMO_START2	คุณสามารถใช้แถบการเนวิเกตที่ด้านล่างของจอภาพเพื่อหยุดชั่วขณะหรือหยุดการสาธิต นอกจากนี้ คุณยังสามารถข้ามไปยังขั้นตอนถัดไปหรือย้อนกลับไปที่ขั้นตอนก่อนหน้าได้อีกด้วย
DEMO_STOP	เสร็จสิ้นโหมดสาธิต
CONCURRENT_START	โหมดทำงานเวลาเดียวกัน
CONCURRENT_START1	โหมดทำงานเวลาเดียวกันแสดงวิธีดำเนินการงานแต่ละงานภายในแอพพลิเคชันให้คุณเห็นทีละขั้นตอน
CONCURRENT_START2	การจำลองจะหยุดชั่วคราวหลังจากผ่านพ้นแต่ละขั้นตอนเพื่อให้คุณมีโอกาสทำตามขั้นตอนนั้นๆ ให้เสร็จสมบูรณ์ในแอพพลิเคชันจริง
CONCURRENT_STOP	เสร็จสิ้นโหมดทำงานเวลาเดียวกัน
PRACTICE_START	โหมดฝึกปฏิบัติ
PRACTICE_START1	ในโหมดฝึกปฏิบัติคุณสามารถลองทำสิ่งที่คุณได้เรียนรู้มาด้วยการจัดการงานภายในแอพพลิเคชันให้สำเร็จด้วยตัวคุณเอง
PRACTICE_START2	ทำตามคำแนะนำแบบทีละขั้นตอน
PRACTICE_STOP	เสร็จสิ้นโหมดฝึกปฏิบัติ
TEST_START	โหมดทดสอบ
