LIBRARY	library
BOOKPLAYER	book reader
LESSONPLAYER	trainer
SHARE_CONTENT	Надати спільний доступ до вмісту
SHARE_BY_MAIL	Надати спільний доступ через електронну пошту
URL_OF_CURRENT_PAGE	URL поточної сторінки
TASK	Завдання
GLOSSARY	Глосарій
CONTEXT_INFO	Інформація контексту
CONTEXT_ROLES	Ролі
CONTEXT_ROLES_NOROLES	Показати контекст без ролей
CONTEXT_MY_ROLES	Мої ролі
CLOSEBUBBLE	Закрити бульбашку
MAXBUBBLE	Відновити бульбашку
MINBUBBLE	Згорнути бульбашку
VOLUME	Об'єм
SETTINGS	Настройки
CLOSE_TASK	Закрити @{TASK}
CLOSE	Закрити
EXIT	Вийти
SELECTION	Вибір
KEYWORD_SEARCH	Пошук за ключовим словом
SEARCH	Шукати
SEARCH_STRING	Шукати рядок символів
KEYWORDS	Ключові слова
SEARCH_CLEAR	Очистити введення для пошуку
FILTER	Фільтр
RESOURCES	Ресурси
VIEW	Подання
CANCEL	Скасувати
CONTINUING	Продовжити
OK	OK
PLAY	Відтворити
PAUSE	Пауза
BACK	Назад
PREVIOUS	Назад
NEXT	Далі
PLAYING	Відтворення
PAUSED	Пауза
USERINPUT	Введення
IDLE	""
START	Завантаження сторінки...
RESTART	Перезапустити
TEXT	Текст
TITLE	Заголовок
MINIMIZE	Згорнути
RESTORE	Відновити
ACQUIRED_SCORE	Отримана оцінка
TEST_RESULT	Результат
TESTDETAILS	Показати подробиці
TESTDETAILS1	Приховати подробиці
PRINT	Друкувати сторінку
LESSON	Моделювання
OF	з
DESCRIPTION	Опис
FULLSCREEN	Повний екран
TOGGLE_TASKINFO	Показати/приховати опис завдання
PANEL_VIEWMODE	Режим відображення панелі
PANEL_TOGGLE	Показати/приховати панель
PANEL	Бокова панель/весь вміст
BOOKMARK_FAVORITE	Обране
CONTENT	Область вмісту/відтворення
TOC	Зміст
FAVORITES	Обране
RECENT	Історія сторінки
QRCODE	Код QR
QR_URL_TOO_BIG	Url надто довгий. Неможливо згенерувати код QR.
CTRLKEY	ctrl
ALTKEY	alt
SHIFTKEY	shift
AUDIO_MUTE	Прибрати звук
AUDIO_PLAY	Відтворити аудіо
AUDIO_PAUSE	Призупинити аудіо
AUDIO_ON	Звук увімк.
AUDIO_OFF	Звук вимк.
CHANNEL_MASTER	Мастер
CHANNEL_BOOKSOUND	Звук книги
CHANNEL_NARRATIVE	Розповідь
CHANNEL_EFFECTS	Ефекти
LIB_NOMATCH	Немає збігів
LIB_NOFILTER	Без фільтра
LIBFLAG_NEWWIN	Відкрити вміст у новому вікні
LIBFLAG_TITLE	Шукати заголовок
LIBFLAG_SHORTDESC	Шукати короткий опис
LIBFLAG_DESC	Шукати опис
LIBFLAG_KEYW	Шукати ключові слова
LIBFLAG_SLIDES	Пошук вмісту сторінки книги
GUI_TOP_BAR	Верхня панель
GUI_BOTTOM_BAR	Нижня панель
ORIENTATION_TOGGLE_TOP	Верхня панель
ORIENTATION_TOGGLE_BOTTOM	Нижня панель
FEEDBACK	Зворотний зв'язок з автором
FEEDBACK_TITLE	Ваш відгук
FEEDBACK_QUESTION	У вас є коментарі до цього моделювання?
FEEDBACK_MISTAKE	Я знайшов помилку
FEEDBACK_COMMENTS	У мене є коментарі, побажання
FEEDBACK_SEND	Відправити відгук
SEND_CONTENT	Надати спільний доступ до вмісту
SEND_CONTENT_SUBJECT	Рекомендований вміст
SEND_CONTENT_TEMPLATE	Вітаю,\n\nЦей вміст може бути цікавим для вас. \n\nЗаголовок: @{SEND_CAPTION}\nПосилання: @{SEND_LINK}\n\nЗ повагою\n
MGR_FEEDBACK_UNSPECIFIED_ERR	Сталася помилка. Зверніться до свого адміністратора.
ERROR_GENERAL	Внутрішня помилка.
ERROR_1	Пристрій блокування виринаючих вікон перешкоджає відтворенню моделювання.
ERROR_1.h	Блокувальник виринаючих вікон блокував відкриття нового вікна браузера. Закрийте блокувальник виринаючих вікон або вимкніть його для цього домена.
ERROR_2	Неможливо завантажити необхідний файл конфігурації.
ERROR_2.h	@{LESSONPLAYER} не може завантажити файл конфігурації, потрібний для правильного функціонування.
SCORM_LOCATION_ERROR	Ваш учбовий прогрес неможливо зберегти через відсутність функціональності вашої системи LMS.
RESTART_COMPLETED_LMS_LESSON	Ви починаєте моделювання, яке вже було завершено або успішно пройдено. Це скине всі попередні отримані бали на нуль і відмінить індикатор завершення або проходження. Ви дійсно бажаєте перезапустити?
RESTART_Av_LMS_LESSON	Ви починаєте моделювання, яке вже було завершено або успішно пройдено. Це скине всі попередні отримані бали на нуль і відмінить індикатор завершення або проходження. Клацніть 'OK' для повторного пуску або 'Скасувати' для закриття?
BOOK_NEXT_CHAPTER	Наступний розділ
BOOK_PREV_CHAPTER	Попередній розділ
BOOK_NEXT_PAGE	Наступна сторінка
BOOK_PREV_PAGE	Попередня сторінка
BOOK_INDEX_PAGE	Початкова сторінка
SLIDE_MOREINFO	Додаткова інформація
SLIDE_TIPS	Підказки
SLIDE_ATTACH	Вкладення
SLIDE_SHOWATTACH	Показати вкладення
SLIDE_OPEN	Відкрити
SLIDE_ADD	Додати
SLIDE_EDIT	Редагувати
SLIDE_DELETE	Видалити
SLIDE_BUTTONAREA	Панель відтворення
HELP	Довідка
HELP_REGION_BAR	Знімки: натисніть на панель фокусування програвача
HELP_REGION_PANEL	Натисніть на фокусування бокової панелі
HELP_REGION_CONTENT	Натисніть на фокусування вмісту
HELP_LIBRARY	Показати довідку @{LIBRARY}
HELP_TRAINER	Показати довідку @{LESSONPLAYER}
HELP_BOOK	Показати довідку @{BOOKPLAYER}
DEMO_START	Демонстраційний режим
DEMO_START1	У демонстраційному режимі ви можете спостерігати за виконанням операції в межах застосунку. Просто слідкуйте за моделюванням; всі кроки будуть виконуватися автоматично.
DEMO_START2	Для призупинення або зупинки демонстрації можна використовувати панель навігації внизу екрана. Також ви можете переходити вперед до наступного або назад до попереднього кроку.
DEMO_STOP	Демонстраційний режим завершено.
CONCURRENT_START	Паралельний режим
CONCURRENT_START1	Паралельний режим показує покроково, як виконувати завдання в межах застосунку
CONCURRENT_START2	Моделювання переривається після кожного кроку для того, щоб надати вам можливість завершити крок у реальному застосунку.
CONCURRENT_STOP	Паралельний режим завершено.
PRACTICE_START	Режим вправи
PRACTICE_START1	У режимі вправи можна відпрацювати те, що ви вже вивчили шляхом самостійного розв'язання завдання у межах застосунку.
PRACTICE_START2	Просто дотримуйтесь покрокових інструкцій.
PRACTICE_STOP	Режим вправи завершено.
TEST_START	Тестовий режим
TEST_START1	У тестовому режимі ви можете перевіряти ваші знання шляхом самостійного вирішення завдань у межах застосунку. Окрім введення прикладу даних, вам необхідно також отримати всі покрокові інструкції. Все завдання описується у вікні завдання, яке за необхідністю можна збільшити або зменшити за допомогою кнопок у панелі заголовків.
TEST_START2	Наприкінці тесту ви отримаєте оцінку на основі кількості правильно завершених кроків. Це оцінювання призначене для вашої самостійної оцінки в області завдання.
TEST_START3	Будьте уважними при виконанні завдань, адже система буде реєструвати всі неправильно написані записи та клаци, що відповідно може знизити ваш результат. Якщо для завершення кроку ви вирішите звернутися по допомогу до системи, ваш бал за цей крок буде встановлено на нуль. 
TEST_START4	Ваша загальна оцінка буде відображена наприкінці тесту. Спробуйте отримати необхідну оцінку у @{res_mastery_percent}% .
TEST_OK	Тест пройдено
TEST_OK1	Вітаємо, ви успішно завершили це завдання.
TEST_FAILED	Тест не пройдено
TEST_FAILED1	Оскільки ви отримали менше ніж @{res_mastery_percent}% від максимально можливого результату, ми рекомендуємо вам опрацювати вміст цього навчального курсу ще раз і знову перевірити ваші знання в тестовому режимі..
TEST_FINISHED	Цей тест призначався лише для вашої самостійної оцінки. Результати не будуть записані або передані третім сторонам.
TEST_SCORE	Оцінка
TEST_SCOREVALUE	@{res_collected_points} з @{res_possible_points}
FREEPRESENTATION_START	Режим вільної презентації
FREEPRESENTATION_START1	Режим вільної презентації дозволяє виконати процес у моделюванні.
FREEPRESENTATION_START2	Виконайте операції крок за кроком. Для виклику довідки натисніть клавішу F1.
FREEPRESENTATION_STOP	Вільна презентація завершена.
GUIDEDPRESENTATION_START	Режим керованої презентації
GUIDEDPRESENTATION_START1	Режим керованої презентації виконує процес в моделюванні автоматично. Курсор мишки та виділення відображають поточний крок.
GUIDEDPRESENTATION_START2	Виконайти операції крок за кроком і підтвердіть кожну з них після виконання.
GUIDEDPRESENTATION_STOP	Керована презентація завершена.
EXER_FAIL1	Операція, яку ви виконали, була неправильною.
EXER_FAIL2	Виконана вами операція була неправильною. 1 бал вираховується з вашої загальної оцінки. Бали за цю дію: @1_rest-points_.
EXER_FAIL3	Виконана вами операція була неправильною. За кожну помилку вираховується 1 бал з вашої загальної оцінки. Бали за цю дію: @1_rest-points_.
EXER_FAILKEY1	Ви натиснули клавішу @1_key_.
EXER_FAILKEY2	Можна використати такі функціональні клавіші: @1_keys_.
EXER_FAILRADIO	Всі дійсні кнопки виділяються.
EXER_FAILINPUT	Всі дійсні текстові області виділяються.
EXER_FAILSELECT	Всі дійсні незалежні перемикачі виділяються.
EXER_FAILDRAG	Ви виконали недійсну @1_keys_ операцію перетягування.
EXER_FAILDRAG1	Виконайте @1_keys_ операцію перетягування в межах виділеної області.
EXER_FAILDROP	Ви виконали недійсну @1_keys_ операцію перетягування.
EXER_FAILDROP1	Виконайте @1_keys_ операцію перетягування в межах виділеної області.
EXER_FAILDBLCLICK	Ви виконали недійсний @1_keys_ подвійний клац.
EXER_FAILDBLCLICK1	Виконайте подвійний клац @1_keys_ в межах виділеної області.
EXER_FAILCLICK	Ви @1_keys_ клацнули недійсну область.
